CANDIDATE,Timestamp,VOTE_SHARES,VOTES
hollingswortht,2020-11-04T05:53:59Z,0,0
millist,2020-11-04T05:53:59Z,0,0
ruffa,2020-11-04T05:53:59Z,0,0
hollingswortht,2020-11-03T23:59:47Z,0.719,14467
millist,2020-11-03T23:59:47Z,0.035,14467
ruffa,2020-11-03T23:59:47Z,0.246,14467
hollingswortht,2020-11-04T00:16:49Z,0.739,33108
millist,2020-11-04T00:16:49Z,0.037,33108
ruffa,2020-11-04T00:16:49Z,0.224,33108
hollingswortht,2020-11-04T00:33:59Z,0.739,33304
millist,2020-11-04T00:33:59Z,0.038,33304
ruffa,2020-11-04T00:33:59Z,0.223,33304
hollingswortht,2020-11-04T00:47:37Z,0.74,33728
millist,2020-11-04T00:47:37Z,0.037,33728
ruffa,2020-11-04T00:47:37Z,0.222,33728
hollingswortht,2020-11-04T01:08:43Z,0.729,48604
millist,2020-11-04T01:08:43Z,0.035,48604
ruffa,2020-11-04T01:08:43Z,0.236,48604
hollingswortht,2020-11-04T01:15:10Z,0.726,53790
millist,2020-11-04T01:15:10Z,0.035,53790
ruffa,2020-11-04T01:15:10Z,0.239,53790
hollingswortht,2020-11-04T01:24:17Z,0.699,109483
millist,2020-11-04T01:24:17Z,0.035,109483
ruffa,2020-11-04T01:24:17Z,0.266,109483
hollingswortht,2020-11-04T01:25:32Z,0.702,112373
millist,2020-11-04T01:25:32Z,0.035,112373
ruffa,2020-11-04T01:25:32Z,0.263,112373
hollingswortht,2020-11-04T01:28:52Z,0.7,115688
millist,2020-11-04T01:28:52Z,0.035,115688
ruffa,2020-11-04T01:28:52Z,0.264,115688
hollingswortht,2020-11-04T01:35:40Z,0.7,118327
millist,2020-11-04T01:35:40Z,0.035,118327
ruffa,2020-11-04T01:35:40Z,0.264,118327
hollingswortht,2020-11-04T01:38:54Z,0.707,127268
millist,2020-11-04T01:38:54Z,0.036,127268
ruffa,2020-11-04T01:38:54Z,0.257,127268
hollingswortht,2020-11-04T01:39:09Z,0.711,132313
millist,2020-11-04T01:39:09Z,0.037,132313
ruffa,2020-11-04T01:39:09Z,0.252,132313
hollingswortht,2020-11-04T01:43:55Z,0.712,134442
millist,2020-11-04T01:43:55Z,0.037,134442
ruffa,2020-11-04T01:43:55Z,0.251,134442
hollingswortht,2020-11-04T01:46:58Z,0.715,140580
millist,2020-11-04T01:46:58Z,0.039,140580
ruffa,2020-11-04T01:46:58Z,0.246,140580
hollingswortht,2020-11-04T02:04:53Z,0.716,147199
millist,2020-11-04T02:04:53Z,0.039,147199
ruffa,2020-11-04T02:04:53Z,0.245,147199
