CANDIDATE,Timestamp,VOTE_SHARES,VOTES
bidenj,2020-11-04T10:01:04Z,0,0
trumpd,2020-11-04T10:01:04Z,0,0
bidenj,2020-11-03T23:12:16Z,0.297,7987
trumpd,2020-11-03T23:12:16Z,0.684,7987
bidenj,2020-11-03T23:17:15Z,0.298,20679
trumpd,2020-11-03T23:17:15Z,0.683,20679
bidenj,2020-11-03T23:21:27Z,0.32,28938
trumpd,2020-11-03T23:21:27Z,0.662,28938
bidenj,2020-11-03T23:21:46Z,0.314,33917
trumpd,2020-11-03T23:21:46Z,0.667,33917
bidenj,2020-11-03T23:27:45Z,0.315,42979
trumpd,2020-11-03T23:27:45Z,0.665,42979
bidenj,2020-11-03T23:30:26Z,0.314,59440
trumpd,2020-11-03T23:30:26Z,0.667,59440
bidenj,2020-11-03T23:34:02Z,0.309,69896
trumpd,2020-11-03T23:34:02Z,0.672,69896
bidenj,2020-11-03T23:37:55Z,0.313,81051
trumpd,2020-11-03T23:37:55Z,0.669,81051
bidenj,2020-11-03T23:39:06Z,0.312,84990
trumpd,2020-11-03T23:39:06Z,0.67,84990
bidenj,2020-11-03T23:41:40Z,0.312,88386
trumpd,2020-11-03T23:41:40Z,0.669,88386
bidenj,2020-11-03T23:42:29Z,0.34,119881
trumpd,2020-11-03T23:42:29Z,0.641,119881
bidenj,2020-11-03T23:44:32Z,0.353,148381
trumpd,2020-11-03T23:44:32Z,0.627,148381
bidenj,2020-11-03T23:44:56Z,0.353,148541
trumpd,2020-11-03T23:44:56Z,0.628,148541
bidenj,2020-11-03T23:46:48Z,0.351,149884
trumpd,2020-11-03T23:46:48Z,0.629,149884
bidenj,2020-11-03T23:50:23Z,0.35,151436
trumpd,2020-11-03T23:50:23Z,0.63,151436
bidenj,2020-11-03T23:50:53Z,0.345,160596
trumpd,2020-11-03T23:50:53Z,0.635,160596
bidenj,2020-11-03T23:51:23Z,0.341,172429
trumpd,2020-11-03T23:51:23Z,0.639,172429
bidenj,2020-11-03T23:51:44Z,0.341,172801
trumpd,2020-11-03T23:51:44Z,0.639,172801
bidenj,2020-11-03T23:53:12Z,0.34,173673
trumpd,2020-11-03T23:53:12Z,0.64,173673
bidenj,2020-11-03T23:54:39Z,0.34,174011
trumpd,2020-11-03T23:54:39Z,0.64,174011
bidenj,2020-11-03T23:55:17Z,0.34,174368
trumpd,2020-11-03T23:55:17Z,0.64,174368
bidenj,2020-11-03T23:55:35Z,0.337,187306
trumpd,2020-11-03T23:55:35Z,0.641,187306
bidenj,2020-11-03T23:55:47Z,0.332,202078
trumpd,2020-11-03T23:55:47Z,0.646,202078
bidenj,2020-11-03T23:59:52Z,0.34,229365
trumpd,2020-11-03T23:59:52Z,0.638,229365
bidenj,2020-11-04T00:00:58Z,0.341,230035
trumpd,2020-11-04T00:00:58Z,0.637,230035
bidenj,2020-11-04T00:01:56Z,0.339,235494
trumpd,2020-11-04T00:01:56Z,0.639,235494
bidenj,2020-11-04T00:03:37Z,0.337,238029
trumpd,2020-11-04T00:03:37Z,0.641,238029
bidenj,2020-11-04T00:05:26Z,0.336,239508
trumpd,2020-11-04T00:05:26Z,0.642,239508
bidenj,2020-11-04T00:07:41Z,0.335,241340
trumpd,2020-11-04T00:07:41Z,0.642,241340
bidenj,2020-11-04T00:08:06Z,0.335,242475
trumpd,2020-11-04T00:08:06Z,0.643,242475
bidenj,2020-11-04T00:08:45Z,0.334,243447
trumpd,2020-11-04T00:08:45Z,0.644,243447
bidenj,2020-11-04T00:11:04Z,0.331,248602
trumpd,2020-11-04T00:11:04Z,0.647,248602
bidenj,2020-11-04T00:11:35Z,0.328,256538
trumpd,2020-11-04T00:11:35Z,0.649,256538
bidenj,2020-11-04T00:13:09Z,0.329,261642
trumpd,2020-11-04T00:13:09Z,0.649,261642
bidenj,2020-11-04T00:13:37Z,0.32,290254
trumpd,2020-11-04T00:13:37Z,0.658,290254
bidenj,2020-11-04T00:13:44Z,0.32,298265
trumpd,2020-11-04T00:13:44Z,0.658,298265
bidenj,2020-11-04T00:14:25Z,0.319,300590
trumpd,2020-11-04T00:14:25Z,0.659,300590
bidenj,2020-11-04T00:14:48Z,0.317,307713
trumpd,2020-11-04T00:14:48Z,0.662,307713
bidenj,2020-11-04T00:15:46Z,0.315,311567
trumpd,2020-11-04T00:15:46Z,0.663,311567
bidenj,2020-11-04T00:18:34Z,0.313,315235
trumpd,2020-11-04T00:18:34Z,0.665,315235
bidenj,2020-11-04T00:19:00Z,0.312,317514
trumpd,2020-11-04T00:19:00Z,0.666,317514
bidenj,2020-11-04T00:19:36Z,0.311,319063
trumpd,2020-11-04T00:19:36Z,0.667,319063
bidenj,2020-11-04T00:20:51Z,0.311,319821
trumpd,2020-11-04T00:20:51Z,0.667,319821
bidenj,2020-11-04T00:21:36Z,0.311,320297
trumpd,2020-11-04T00:21:36Z,0.667,320297
bidenj,2020-11-04T00:24:55Z,0.31,321671
trumpd,2020-11-04T00:24:55Z,0.668,321671
bidenj,2020-11-04T00:29:25Z,0.309,327050
