CANDIDATE,Timestamp,VOTE_SHARES,VOTES
axnec,2020-11-04T08:05:21Z,0,0
holderb,2020-11-04T08:05:21Z,0,0
youngd,2020-11-04T08:05:21Z,0,0
axnec,2020-11-04T03:13:54Z,0.449,7204
holderb,2020-11-04T03:13:54Z,0.027,7204
youngd,2020-11-04T03:13:54Z,0.525,7204
axnec,2020-11-04T03:14:10Z,0.445,7576
holderb,2020-11-04T03:14:10Z,0.027,7576
youngd,2020-11-04T03:14:10Z,0.529,7576
axnec,2020-11-04T03:17:36Z,0.509,28267
holderb,2020-11-04T03:17:36Z,0.031,28267
youngd,2020-11-04T03:17:36Z,0.46,28267
axnec,2020-11-04T03:22:32Z,0.503,29458
holderb,2020-11-04T03:22:32Z,0.031,29458
youngd,2020-11-04T03:22:32Z,0.466,29458
axnec,2020-11-04T03:29:08Z,0.497,30801
holderb,2020-11-04T03:29:08Z,0.031,30801
youngd,2020-11-04T03:29:08Z,0.472,30801
axnec,2020-11-04T03:35:21Z,0.485,34889
holderb,2020-11-04T03:35:21Z,0.03,34889
youngd,2020-11-04T03:35:21Z,0.485,34889
axnec,2020-11-04T03:37:55Z,0.483,38158
holderb,2020-11-04T03:37:55Z,0.03,38158
youngd,2020-11-04T03:37:55Z,0.487,38158
axnec,2020-11-04T03:39:19Z,0.47,74142
holderb,2020-11-04T03:39:19Z,0.03,74142
youngd,2020-11-04T03:39:19Z,0.5,74142
axnec,2020-11-04T03:40:39Z,0.481,101099
holderb,2020-11-04T03:40:39Z,0.033,101099
youngd,2020-11-04T03:40:39Z,0.486,101099
axnec,2020-11-04T03:42:20Z,0.537,350872
holderb,2020-11-04T03:42:20Z,0.033,350872
youngd,2020-11-04T03:42:20Z,0.43,350872
axnec,2020-11-04T03:48:28Z,0.536,365756
holderb,2020-11-04T03:48:28Z,0.033,365756
youngd,2020-11-04T03:48:28Z,0.431,365756
axnec,2020-11-04T03:50:34Z,0.535,366342
holderb,2020-11-04T03:50:34Z,0.033,366342
youngd,2020-11-04T03:50:34Z,0.432,366342
axnec,2020-11-04T03:54:55Z,0.533,369831
holderb,2020-11-04T03:54:55Z,0.033,369831
youngd,2020-11-04T03:54:55Z,0.434,369831
axnec,2020-11-04T03:57:48Z,0.532,370767
holderb,2020-11-04T03:57:48Z,0.033,370767
youngd,2020-11-04T03:57:48Z,0.435,370767
axnec,2020-11-04T03:58:15Z,0.532,371694
holderb,2020-11-04T03:58:15Z,0.033,371694
youngd,2020-11-04T03:58:15Z,0.435,371694
axnec,2020-11-04T03:58:30Z,0.528,376083
holderb,2020-11-04T03:58:30Z,0.033,376083
youngd,2020-11-04T03:58:30Z,0.439,376083
axnec,2020-11-04T03:59:40Z,0.526,377824
holderb,2020-11-04T03:59:40Z,0.033,377824
youngd,2020-11-04T03:59:40Z,0.44,377824
axnec,2020-11-04T04:00:19Z,0.522,385535
holderb,2020-11-04T04:00:19Z,0.033,385535
youngd,2020-11-04T04:00:19Z,0.444,385535
axnec,2020-11-04T04:04:12Z,0.521,387568
holderb,2020-11-04T04:04:12Z,0.033,387568
youngd,2020-11-04T04:04:12Z,0.446,387568
axnec,2020-11-04T04:10:51Z,0.514,399694
holderb,2020-11-04T04:10:51Z,0.033,399694
youngd,2020-11-04T04:10:51Z,0.453,399694
axnec,2020-11-04T04:11:46Z,0.512,403482
holderb,2020-11-04T04:11:46Z,0.033,403482
youngd,2020-11-04T04:11:46Z,0.455,403482
axnec,2020-11-04T04:20:37Z,0.511,407616
holderb,2020-11-04T04:20:37Z,0.034,407616
youngd,2020-11-04T04:20:37Z,0.455,407616
axnec,2020-11-04T04:23:32Z,0.508,413271
holderb,2020-11-04T04:23:32Z,0.034,413271
youngd,2020-11-04T04:23:32Z,0.459,413271
axnec,2020-11-04T04:30:59Z,0.505,417853
holderb,2020-11-04T04:30:59Z,0.034,417853
youngd,2020-11-04T04:30:59Z,0.461,417853
axnec,2020-11-04T04:38:36Z,0.505,417996
holderb,2020-11-04T04:38:36Z,0.034,417996
youngd,2020-11-04T04:38:36Z,0.461,417996
axnec,2020-11-04T04:44:17Z,0.504,419460
holderb,2020-11-04T04:44:17Z,0.034,419460
youngd,2020-11-04T04:44:17Z,0.462,419460
axnec,2020-11-04T04:45:15Z,0.501,426823
holderb,2020-11-04T04:45:15Z,0.033,426823
youngd,2020-11-04T04:45:15Z,0.466,426823
axnec,2020-11-04T04:56:42Z,0.5,427915
holderb,2020-11-04T04:56:42Z,0.033,427915
youngd,2020-11-04T04:56:42Z,0.466,427915
axnec,2020-11-04T05:00:50Z,0.491,445724
holderb,2020-11-04T05:00:50Z,0.034,445724
youngd,2020-11-04T05:00:50Z,0.475,445724
axnec,2020-11-04T05:01:10Z,0.49,446041
holderb,2020-11-04T05:01:10Z,0.034,446041
youngd,2020-11-04T05:01:10Z,0.475,446041
axnec,2020-11-04T05:08:03Z,0.49,447033
holderb,2020-11-04T05:08:03Z,0.034,447033
