CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-12-05T22:48:56Z,2576,2068,11,11,19005
blankenshipd,2020-12-05T22:48:56Z,12,9,11,11,19005
de_la_fuenter,2020-12-05T22:48:56Z,4,2,11,11,19005
hawkinsh,2020-12-05T22:48:56Z,4,3,11,11,19005
jorgensenj,2020-12-05T22:48:56Z,71,28,11,11,19005
kingr,2020-12-05T22:48:56Z,1,1,11,11,19005
pierceb,2020-12-05T22:48:56Z,5,3,11,11,19005
trumpd,2020-12-05T22:48:56Z,4735,2692,11,11,19005
westk,2020-12-05T22:48:56Z,5,3,11,11,19005
write-ins,2020-12-05T22:48:56Z,9,7,11,11,19005
