CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-12-05T23:14:28Z,35647,26451,63,63,19013
blankenshipd,2020-12-05T23:14:28Z,67,38,63,63,19013
de_la_fuenter,2020-12-05T23:14:28Z,54,29,63,63,19013
hawkinsh,2020-12-05T23:14:28Z,103,50,63,63,19013
jorgensenj,2020-12-05T23:14:28Z,722,315,63,63,19013
kingr,2020-12-05T23:14:28Z,20,16,63,63,19013
pierceb,2020-12-05T23:14:28Z,21,11,63,63,19013
trumpd,2020-12-05T23:14:28Z,29640,13783,63,63,19013
westk,2020-12-05T23:14:28Z,146,68,63,63,19013
write-ins,2020-12-05T23:14:28Z,173,109,63,63,19013
