CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-12-04T23:17:55Z,6303,4982,13,13,19015
blankenshipd,2020-12-04T23:17:55Z,19,13,13,13,19015
de_la_fuenter,2020-12-04T23:17:55Z,15,9,13,13,19015
hawkinsh,2020-12-04T23:17:55Z,24,13,13,13,19015
jorgensenj,2020-12-04T23:17:55Z,198,84,13,13,19015
kingr,2020-12-04T23:17:55Z,7,4,13,13,19015
pierceb,2020-12-04T23:17:55Z,11,6,13,13,19015
trumpd,2020-12-04T23:17:55Z,8695,4344,13,13,19015
westk,2020-12-04T23:17:55Z,34,19,13,13,19015
write-ins,2020-12-04T23:17:55Z,34,0,13,13,19015
