CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-12-05T23:05:19Z,1470,1022,11,11,19025
blankenshipd,2020-12-05T23:05:19Z,8,5,11,11,19025
de_la_fuenter,2020-12-05T23:05:19Z,5,2,11,11,19025
hawkinsh,2020-12-05T23:05:19Z,3,0,11,11,19025
jorgensenj,2020-12-05T23:05:19Z,59,23,11,11,19025
kingr,2020-12-05T23:05:19Z,3,2,11,11,19025
pierceb,2020-12-05T23:05:19Z,2,1,11,11,19025
trumpd,2020-12-05T23:05:19Z,3689,1456,11,11,19025
westk,2020-12-05T23:05:19Z,10,4,11,11,19025
write-ins,2020-12-05T23:05:19Z,9,0,11,11,19025
