CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-12-05T23:33:47Z,1013,776,8,8,19051
blankenshipd,2020-12-05T23:33:47Z,4,2,8,8,19051
de_la_fuenter,2020-12-05T23:33:47Z,2,1,8,8,19051
hawkinsh,2020-12-05T23:33:47Z,5,3,8,8,19051
jorgensenj,2020-12-05T23:33:47Z,30,10,8,8,19051
kingr,2020-12-05T23:33:47Z,4,4,8,8,19051
pierceb,2020-12-05T23:33:47Z,1,0,8,8,19051
trumpd,2020-12-05T23:33:47Z,3032,1372,8,8,19051
westk,2020-12-05T23:33:47Z,8,3,8,8,19051
write-ins,2020-12-05T23:33:47Z,3,0,8,8,19051
