CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-12-04T23:29:22Z,1120,753,7,7,19053
blankenshipd,2020-12-04T23:29:22Z,3,1,7,7,19053
de_la_fuenter,2020-12-04T23:29:22Z,6,1,7,7,19053
hawkinsh,2020-12-04T23:29:22Z,11,8,7,7,19053
jorgensenj,2020-12-04T23:29:22Z,29,9,7,7,19053
kingr,2020-12-04T23:29:22Z,3,1,7,7,19053
pierceb,2020-12-04T23:29:22Z,3,2,7,7,19053
trumpd,2020-12-04T23:29:22Z,2615,893,7,7,19053
westk,2020-12-04T23:29:22Z,11,4,7,7,19053
write-ins,2020-12-04T23:29:22Z,3,0,7,7,19053
