CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-12-04T23:33:27Z,2206,1429,7,7,19075
blankenshipd,2020-12-04T23:33:27Z,7,4,7,7,19075
de_la_fuenter,2020-12-04T23:33:27Z,0,0,7,7,19075
hawkinsh,2020-12-04T23:33:27Z,12,5,7,7,19075
jorgensenj,2020-12-04T23:33:27Z,87,34,7,7,19075
kingr,2020-12-04T23:33:27Z,2,0,7,7,19075
pierceb,2020-12-04T23:33:27Z,10,3,7,7,19075
trumpd,2020-12-04T23:33:27Z,4929,1870,7,7,19075
westk,2020-12-04T23:33:27Z,7,3,7,7,19075
write-ins,2020-12-04T23:33:27Z,16,0,7,7,19075
