CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-12-04T23:34:32Z,1985,1430,9,9,19077
blankenshipd,2020-12-04T23:34:32Z,6,4,9,9,19077
de_la_fuenter,2020-12-04T23:34:32Z,1,0,9,9,19077
hawkinsh,2020-12-04T23:34:32Z,7,5,9,9,19077
jorgensenj,2020-12-04T23:34:32Z,79,36,9,9,19077
kingr,2020-12-04T23:34:32Z,0,0,9,9,19077
pierceb,2020-12-04T23:34:32Z,1,0,9,9,19077
trumpd,2020-12-04T23:34:32Z,4272,1834,9,9,19077
westk,2020-12-04T23:34:32Z,12,7,9,9,19077
write-ins,2020-12-04T23:34:32Z,8,0,9,9,19077
