CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-12-05T23:05:07Z,2440,1671,13,13,19085
blankenshipd,2020-12-05T23:05:07Z,10,7,13,13,19085
de_la_fuenter,2020-12-05T23:05:07Z,6,2,13,13,19085
hawkinsh,2020-12-05T23:05:07Z,9,5,13,13,19085
jorgensenj,2020-12-05T23:05:07Z,85,31,13,13,19085
kingr,2020-12-05T23:05:07Z,5,1,13,13,19085
pierceb,2020-12-05T23:05:07Z,1,1,13,13,19085
trumpd,2020-12-05T23:05:07Z,5569,2270,13,13,19085
westk,2020-12-05T23:05:07Z,19,6,13,13,19085
write-ins,2020-12-05T23:05:07Z,11,0,13,13,19085
