CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-12-05T23:01:38Z,4213,3145,14,14,19105
blankenshipd,2020-12-05T23:01:38Z,12,9,14,14,19105
de_la_fuenter,2020-12-05T23:01:38Z,7,3,14,14,19105
hawkinsh,2020-12-05T23:01:38Z,15,8,14,14,19105
jorgensenj,2020-12-05T23:01:38Z,118,52,14,14,19105
kingr,2020-12-05T23:01:38Z,5,3,14,14,19105
pierceb,2020-12-05T23:01:38Z,3,1,14,14,19105
trumpd,2020-12-05T23:01:38Z,6572,2768,14,14,19105
westk,2020-12-05T23:01:38Z,20,8,14,14,19105
write-ins,2020-12-05T23:01:38Z,24,0,14,14,19105
