CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-12-05T23:04:52Z,2696,2111,20,20,19109
blankenshipd,2020-12-05T23:04:52Z,10,5,20,20,19109
de_la_fuenter,2020-12-05T23:04:52Z,4,3,20,20,19109
hawkinsh,2020-12-05T23:04:52Z,10,6,20,20,19109
jorgensenj,2020-12-05T23:04:52Z,61,29,20,20,19109
kingr,2020-12-05T23:04:52Z,2,1,20,20,19109
pierceb,2020-12-05T23:04:52Z,4,0,20,20,19109
trumpd,2020-12-05T23:04:52Z,6275,2902,20,20,19109
westk,2020-12-05T23:04:52Z,15,6,20,20,19109
write-ins,2020-12-05T23:04:52Z,13,0,20,20,19109
