CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-12-05T23:35:40Z,1726,1183,5,5,19115
blankenshipd,2020-12-05T23:35:40Z,5,2,5,5,19115
de_la_fuenter,2020-12-05T23:35:40Z,3,1,5,5,19115
hawkinsh,2020-12-05T23:35:40Z,5,3,5,5,19115
jorgensenj,2020-12-05T23:35:40Z,67,26,5,5,19115
kingr,2020-12-05T23:35:40Z,3,2,5,5,19115
pierceb,2020-12-05T23:35:40Z,5,2,5,5,19115
trumpd,2020-12-05T23:35:40Z,3500,1527,5,5,19115
westk,2020-12-05T23:35:40Z,12,2,5,5,19115
write-ins,2020-12-05T23:35:40Z,6,0,5,5,19115
