CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-12-05T22:57:24Z,2894,2283,12,12,19123
blankenshipd,2020-12-05T22:57:24Z,10,6,12,12,19123
de_la_fuenter,2020-12-05T22:57:24Z,8,5,12,12,19123
hawkinsh,2020-12-05T22:57:24Z,13,4,12,12,19123
jorgensenj,2020-12-05T22:57:24Z,134,47,12,12,19123
kingr,2020-12-05T22:57:24Z,2,0,12,12,19123
pierceb,2020-12-05T22:57:24Z,4,4,12,12,19123
trumpd,2020-12-05T22:57:24Z,8297,4468,12,12,19123
westk,2020-12-05T22:57:24Z,19,10,12,12,19123
write-ins,2020-12-05T22:57:24Z,23,0,12,12,19123
