CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-12-05T23:06:21Z,1407,948,8,8,19133
blankenshipd,2020-12-05T23:06:21Z,5,1,8,8,19133
de_la_fuenter,2020-12-05T23:06:21Z,3,2,8,8,19133
hawkinsh,2020-12-05T23:06:21Z,3,0,8,8,19133
jorgensenj,2020-12-05T23:06:21Z,36,5,8,8,19133
kingr,2020-12-05T23:06:21Z,0,0,8,8,19133
pierceb,2020-12-05T23:06:21Z,3,1,8,8,19133
trumpd,2020-12-05T23:06:21Z,3248,1238,8,8,19133
westk,2020-12-05T23:06:21Z,9,6,8,8,19133
write-ins,2020-12-05T23:06:21Z,14,0,8,8,19133
