CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-12-05T00:03:31Z,4306,3489,4,4,19157
blankenshipd,2020-12-05T00:03:31Z,19,13,4,4,19157
de_la_fuenter,2020-12-05T00:03:31Z,5,4,4,4,19157
hawkinsh,2020-12-05T00:03:31Z,26,17,4,4,19157
jorgensenj,2020-12-05T00:03:31Z,90,39,4,4,19157
kingr,2020-12-05T00:03:31Z,3,1,4,4,19157
pierceb,2020-12-05T00:03:31Z,4,2,4,4,19157
trumpd,2020-12-05T00:03:31Z,5657,2705,4,4,19157
westk,2020-12-05T00:03:31Z,14,7,4,4,19157
write-ins,2020-12-05T00:03:31Z,16,0,4,4,19157
