CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-12-05T23:38:25Z,746,473,7,7,19173
blankenshipd,2020-12-05T23:38:25Z,2,2,7,7,19173
de_la_fuenter,2020-12-05T23:38:25Z,1,0,7,7,19173
hawkinsh,2020-12-05T23:38:25Z,1,0,7,7,19173
jorgensenj,2020-12-05T23:38:25Z,17,6,7,7,19173
kingr,2020-12-05T23:38:25Z,2,0,7,7,19173
pierceb,2020-12-05T23:38:25Z,0,0,7,7,19173
trumpd,2020-12-05T23:38:25Z,2463,887,7,7,19173
westk,2020-12-05T23:38:25Z,10,4,7,7,19173
write-ins,2020-12-05T23:38:25Z,7,4,7,7,19173
