CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-12-04T23:56:21Z,6613,4942,28,28,19187
blankenshipd,2020-12-04T23:56:21Z,9,4,28,28,19187
de_la_fuenter,2020-12-04T23:56:21Z,10,6,28,28,19187
hawkinsh,2020-12-04T23:56:21Z,26,12,28,28,19187
jorgensenj,2020-12-04T23:56:21Z,128,48,28,28,19187
kingr,2020-12-04T23:56:21Z,5,3,28,28,19187
pierceb,2020-12-04T23:56:21Z,5,3,28,28,19187
trumpd,2020-12-04T23:56:21Z,10938,5017,28,28,19187
westk,2020-12-04T23:56:21Z,56,23,28,28,19187
write-ins,2020-12-04T23:56:21Z,32,0,28,28,19187
