CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-12-05T23:01:59Z,1596,1030,8,8,19195
blankenshipd,2020-12-05T23:01:59Z,8,1,8,8,19195
de_la_fuenter,2020-12-05T23:01:59Z,8,5,8,8,19195
hawkinsh,2020-12-05T23:01:59Z,7,1,8,8,19195
jorgensenj,2020-12-05T23:01:59Z,38,16,8,8,19195
kingr,2020-12-05T23:01:59Z,1,1,8,8,19195
pierceb,2020-12-05T23:01:59Z,4,3,8,8,19195
trumpd,2020-12-05T23:01:59Z,2738,869,8,8,19195
westk,2020-12-05T23:01:59Z,14,5,8,8,19195
write-ins,2020-12-05T23:01:59Z,4,0,8,8,19195
