CANDIDATE,Timestamp,VOTE_SHARES,VOTES
estesr,2020-11-04T10:02:44Z,0,0
lombardl,2020-11-04T10:02:44Z,0,0
estesr,2020-11-04T01:52:16Z,0.652,17966
lombardl,2020-11-04T01:52:16Z,0.348,17966
estesr,2020-11-04T01:58:52Z,0.562,149227
lombardl,2020-11-04T01:58:52Z,0.438,149227
estesr,2020-11-04T02:08:12Z,0.566,157702
lombardl,2020-11-04T02:08:12Z,0.434,157702
estesr,2020-11-04T02:09:50Z,0.569,159304
lombardl,2020-11-04T02:09:50Z,0.431,159304
estesr,2020-11-04T02:11:40Z,0.566,169150
lombardl,2020-11-04T02:11:40Z,0.434,169150
estesr,2020-11-04T02:13:59Z,0.566,169319
lombardl,2020-11-04T02:13:59Z,0.434,169319
estesr,2020-11-04T02:16:24Z,0.573,173415
lombardl,2020-11-04T02:16:24Z,0.427,173415
estesr,2020-11-04T02:38:28Z,0.579,186389
lombardl,2020-11-04T02:38:28Z,0.421,186389
estesr,2020-11-04T02:43:41Z,0.58,187177
lombardl,2020-11-04T02:43:41Z,0.42,187177
estesr,2020-11-04T02:46:02Z,0.584,190543
lombardl,2020-11-04T02:46:02Z,0.416,190543
estesr,2020-11-04T03:01:21Z,0.585,194509
lombardl,2020-11-04T03:01:21Z,0.415,194509
estesr,2020-11-04T03:02:36Z,0.587,195910
lombardl,2020-11-04T03:02:36Z,0.413,195910
estesr,2020-11-04T03:04:00Z,0.594,210838
lombardl,2020-11-04T03:04:00Z,0.406,210838
estesr,2020-11-04T03:13:31Z,0.601,216637
lombardl,2020-11-04T03:13:31Z,0.399,216637
estesr,2020-11-04T03:26:23Z,0.604,218842
lombardl,2020-11-04T03:26:23Z,0.396,218842
estesr,2020-11-04T03:30:45Z,0.609,223762
lombardl,2020-11-04T03:30:45Z,0.391,223762
estesr,2020-11-04T03:42:31Z,0.609,223996
lombardl,2020-11-04T03:42:31Z,0.391,223996
estesr,2020-11-04T03:43:52Z,0.611,225455
lombardl,2020-11-04T03:43:52Z,0.389,225455
estesr,2020-11-04T03:49:35Z,0.615,230735
lombardl,2020-11-04T03:49:35Z,0.385,230735
estesr,2020-11-04T03:56:27Z,0.618,234714
lombardl,2020-11-04T03:56:27Z,0.382,234714
estesr,2020-11-04T03:57:28Z,0.635,267903
lombardl,2020-11-04T03:57:28Z,0.365,267903
estesr,2020-11-04T04:07:25Z,0.636,269659
lombardl,2020-11-04T04:07:25Z,0.364,269659
estesr,2020-11-04T04:08:17Z,0.641,275503
lombardl,2020-11-04T04:08:17Z,0.359,275503
estesr,2020-11-04T04:09:28Z,0.643,278500
lombardl,2020-11-04T04:09:28Z,0.357,278500
estesr,2020-11-04T04:11:58Z,0.643,279310
lombardl,2020-11-04T04:11:58Z,0.357,279310
estesr,2020-11-04T04:13:11Z,0.644,280035
lombardl,2020-11-04T04:13:11Z,0.356,280035
estesr,2020-11-04T04:40:01Z,0.644,280915
lombardl,2020-11-04T04:40:01Z,0.356,280915
estesr,2020-11-04T10:45:52Z,0.644,281086
lombardl,2020-11-04T10:45:52Z,0.356,281086
estesr,2020-11-04T18:21:22Z,0.646,283075
lombardl,2020-11-04T18:21:22Z,0.354,283075
estesr,2020-11-04T18:38:32Z,0.646,283195
lombardl,2020-11-04T18:38:32Z,0.354,283195
estesr,2020-11-04T19:35:26Z,0.646,283297
lombardl,2020-11-04T19:35:26Z,0.354,283297
estesr,2020-11-04T20:06:01Z,0.647,285748
lombardl,2020-11-04T20:06:01Z,0.353,285748
estesr,2020-11-04T20:06:13Z,0.65,288739
lombardl,2020-11-04T20:06:13Z,0.35,288739
estesr,2020-11-04T20:07:26Z,0.65,288743
lombardl,2020-11-04T20:07:26Z,0.35,288743
estesr,2020-11-04T20:12:23Z,0.65,288751
lombardl,2020-11-04T20:12:23Z,0.35,288751
estesr,2020-11-04T21:16:20Z,0.65,288825
lombardl,2020-11-04T21:16:20Z,0.35,288825
estesr,2020-11-04T22:11:17Z,0.65,288904
lombardl,2020-11-04T22:11:17Z,0.35,288904
estesr,2020-11-04T22:39:19Z,0.65,288906
lombardl,2020-11-04T22:39:19Z,0.35,288906
estesr,2020-11-04T23:02:20Z,0.647,293655
lombardl,2020-11-04T23:02:20Z,0.353,293655
estesr,2020-11-04T23:29:20Z,0.647,294036
lombardl,2020-11-04T23:29:20Z,0.353,294036
estesr,2020-11-04T23:33:21Z,0.647,294038
lombardl,2020-11-04T23:33:21Z,0.353,294038
