CANDIDATE,Timestamp,VOTE_SHARES,VOTES
massiet,2020-11-04T08:05:21Z,0,0
owensbya,2020-11-04T08:05:21Z,0,0
write-ins,2020-11-04T08:05:21Z,0,0
massiet,2020-11-03T23:21:39Z,0.681,12876
owensbya,2020-11-03T23:21:39Z,0.319,12876
write-ins,2020-11-03T23:21:39Z,0,12876
massiet,2020-11-03T23:24:07Z,0.71,16272
owensbya,2020-11-03T23:24:07Z,0.29,16272
write-ins,2020-11-03T23:24:07Z,0,16272
massiet,2020-11-03T23:39:38Z,0.502,40484
owensbya,2020-11-03T23:39:38Z,0.498,40484
write-ins,2020-11-03T23:39:38Z,0,40484
massiet,2020-11-03T23:46:40Z,0.57,79582
owensbya,2020-11-03T23:46:40Z,0.43,79582
write-ins,2020-11-03T23:46:40Z,0,79582
massiet,2020-11-03T23:48:03Z,0.581,84009
owensbya,2020-11-03T23:48:03Z,0.419,84009
write-ins,2020-11-03T23:48:03Z,0,84009
massiet,2020-11-04T00:12:32Z,0.583,96851
owensbya,2020-11-04T00:12:32Z,0.417,96851
write-ins,2020-11-04T00:12:32Z,0,96851
massiet,2020-11-04T00:25:59Z,0.601,109040
owensbya,2020-11-04T00:25:59Z,0.399,109040
write-ins,2020-11-04T00:25:59Z,0,109040
massiet,2020-11-04T00:26:49Z,0.607,111851
owensbya,2020-11-04T00:26:49Z,0.393,111851
write-ins,2020-11-04T00:26:49Z,0,111851
massiet,2020-11-04T00:27:09Z,0.613,114264
owensbya,2020-11-04T00:27:09Z,0.387,114264
write-ins,2020-11-04T00:27:09Z,0,114264
massiet,2020-11-04T00:34:51Z,0.649,147540
owensbya,2020-11-04T00:34:51Z,0.351,147540
write-ins,2020-11-04T00:34:51Z,0,147540
massiet,2020-11-04T00:42:53Z,0.652,169826
owensbya,2020-11-04T00:42:53Z,0.348,169826
write-ins,2020-11-04T00:42:53Z,0,169826
massiet,2020-11-04T00:45:16Z,0.652,204856
owensbya,2020-11-04T00:45:16Z,0.348,204856
write-ins,2020-11-04T00:45:16Z,0,204856
massiet,2020-11-04T00:46:52Z,0.655,210871
owensbya,2020-11-04T00:46:52Z,0.345,210871
write-ins,2020-11-04T00:46:52Z,0,210871
massiet,2020-11-04T00:51:52Z,0.657,213298
owensbya,2020-11-04T00:51:52Z,0.343,213298
write-ins,2020-11-04T00:51:52Z,0,213298
massiet,2020-11-04T01:04:52Z,0.66,221237
owensbya,2020-11-04T01:04:52Z,0.34,221237
write-ins,2020-11-04T01:04:52Z,0,221237
massiet,2020-11-04T01:05:51Z,0.662,225022
owensbya,2020-11-04T01:05:51Z,0.338,225022
write-ins,2020-11-04T01:05:51Z,0,225022
massiet,2020-11-04T01:08:08Z,0.659,240322
owensbya,2020-11-04T01:08:08Z,0.341,240322
write-ins,2020-11-04T01:08:08Z,0,240322
massiet,2020-11-04T01:09:52Z,0.66,243700
owensbya,2020-11-04T01:09:52Z,0.34,243700
write-ins,2020-11-04T01:09:52Z,0,243700
massiet,2020-11-04T01:12:51Z,0.658,246166
owensbya,2020-11-04T01:12:51Z,0.342,246166
write-ins,2020-11-04T01:12:51Z,0,246166
massiet,2020-11-04T01:14:45Z,0.611,282839
owensbya,2020-11-04T01:14:45Z,0.389,282839
write-ins,2020-11-04T01:14:45Z,0,282839
massiet,2020-11-04T01:20:52Z,0.619,296377
owensbya,2020-11-04T01:20:52Z,0.381,296377
write-ins,2020-11-04T01:20:52Z,0,296377
massiet,2020-11-04T01:21:41Z,0.62,300590
owensbya,2020-11-04T01:21:41Z,0.38,300590
write-ins,2020-11-04T01:21:41Z,0,300590
massiet,2020-11-04T01:32:00Z,0.622,302717
owensbya,2020-11-04T01:32:00Z,0.378,302717
write-ins,2020-11-04T01:32:00Z,0,302717
massiet,2020-11-04T01:39:54Z,0.624,306912
owensbya,2020-11-04T01:39:54Z,0.376,306912
write-ins,2020-11-04T01:39:54Z,0,306912
massiet,2020-11-04T01:43:11Z,0.625,323611
owensbya,2020-11-04T01:43:11Z,0.375,323611
write-ins,2020-11-04T01:43:11Z,0,323611
massiet,2020-11-04T01:46:52Z,0.625,323616
owensbya,2020-11-04T01:46:52Z,0.375,323616
write-ins,2020-11-04T01:46:52Z,0,323616
massiet,2020-11-04T01:48:53Z,0.625,324037
owensbya,2020-11-04T01:48:53Z,0.375,324037
write-ins,2020-11-04T01:48:53Z,0,324037
massiet,2020-11-04T01:49:53Z,0.639,350111
owensbya,2020-11-04T01:49:53Z,0.361,350111
write-ins,2020-11-04T01:49:53Z,0,350111
massiet,2020-11-04T01:56:51Z,0.67,361702
owensbya,2020-11-04T01:56:51Z,0.33,361702
write-ins,2020-11-04T01:56:51Z,0,361702
massiet,2020-11-04T01:59:53Z,0.673,372687
owensbya,2020-11-04T01:59:53Z,0.327,372687
write-ins,2020-11-04T01:59:53Z,0,372687
massiet,2020-11-04T02:07:53Z,0.673,372693
owensbya,2020-11-04T02:07:53Z,0.327,372693
write-ins,2020-11-04T02:07:53Z,0,372693
massiet,2020-11-04T02:49:53Z,0.673,372716
owensbya,2020-11-04T02:49:53Z,0.327,372716
write-ins,2020-11-04T02:49:53Z,0,372716
massiet,2020-11-04T03:00:50Z,0.674,377735
owensbya,2020-11-04T03:00:50Z,0.326,377735
write-ins,2020-11-04T03:00:50Z,0,377735
massiet,2020-11-04T03:29:54Z,0.675,383160
owensbya,2020-11-04T03:29:54Z,0.325,383160
write-ins,2020-11-04T03:29:54Z,0,383160
massiet,2020-11-06T16:14:37Z,0.675,383162
owensbya,2020-11-06T16:14:37Z,0.325,383162
write-ins,2020-11-06T16:14:37Z,0,383162
massiet,2020-11-06T18:11:41Z,0.675,383173
owensbya,2020-11-06T18:11:41Z,0.325,383173
