COUNTY,PRECINCT,CANDIDATE,Timestamp,VOTES,TOTAL_VOTES,GEOID
Floyd,A101,bidenj,12/27/2021 20:35:30.140709,130,381,21071-COURT HOUSE/TRIMBLE BR (A101)
Floyd,A101,jorgensenj,12/27/2021 20:35:30.140709,4,381,21071-COURT HOUSE/TRIMBLE BR (A101)
Floyd,A101,pierceb,12/27/2021 20:35:30.140709,0,381,21071-COURT HOUSE/TRIMBLE BR (A101)
Floyd,A101,trumpd,12/27/2021 20:35:30.140709,246,381,21071-COURT HOUSE/TRIMBLE BR (A101)
Floyd,A101,westk,12/27/2021 20:35:30.140709,1,381,21071-COURT HOUSE/TRIMBLE BR (A101)
Floyd,A102,bidenj,12/27/2021 20:35:30.140709,9,76,21071-ENDICOTT/BUFFALO (A102)
Floyd,A102,jorgensenj,12/27/2021 20:35:30.140709,0,76,21071-ENDICOTT/BUFFALO (A102)
Floyd,A102,pierceb,12/27/2021 20:35:30.140709,0,76,21071-ENDICOTT/BUFFALO (A102)
Floyd,A102,trumpd,12/27/2021 20:35:30.140709,66,76,21071-ENDICOTT/BUFFALO (A102)
Floyd,A102,westk,12/27/2021 20:35:30.140709,1,76,21071-ENDICOTT/BUFFALO (A102)
Floyd,A103,bidenj,12/27/2021 20:35:30.140709,66,412,21071-DEPOT (A103)
Floyd,A103,jorgensenj,12/27/2021 20:35:30.140709,3,412,21071-DEPOT (A103)
Floyd,A103,pierceb,12/27/2021 20:35:30.140709,0,412,21071-DEPOT (A103)
Floyd,A103,trumpd,12/27/2021 20:35:30.140709,341,412,21071-DEPOT (A103)
Floyd,A103,westk,12/27/2021 20:35:30.140709,2,412,21071-DEPOT (A103)
Floyd,A104,bidenj,12/27/2021 20:35:30.140709,66,216,21071-RICHMOND (A104)
Floyd,A104,jorgensenj,12/27/2021 20:35:30.140709,4,216,21071-RICHMOND (A104)
Floyd,A104,pierceb,12/27/2021 20:35:30.140709,0,216,21071-RICHMOND (A104)
Floyd,A104,trumpd,12/27/2021 20:35:30.140709,146,216,21071-RICHMOND (A104)
Floyd,A104,westk,12/27/2021 20:35:30.140709,0,216,21071-RICHMOND (A104)
Floyd,A105,bidenj,12/27/2021 20:35:30.140709,155,561,21071-NORTH PRESTONBURG (A105)
Floyd,A105,jorgensenj,12/27/2021 20:35:30.140709,1,561,21071-NORTH PRESTONBURG (A105)
Floyd,A105,pierceb,12/27/2021 20:35:30.140709,0,561,21071-NORTH PRESTONBURG (A105)
Floyd,A105,trumpd,12/27/2021 20:35:30.140709,400,561,21071-NORTH PRESTONBURG (A105)
Floyd,A105,westk,12/27/2021 20:35:30.140709,5,561,21071-NORTH PRESTONBURG (A105)
Floyd,A106,bidenj,12/27/2021 20:35:30.140709,153,569,21071-PORTER (A106)
Floyd,A106,jorgensenj,12/27/2021 20:35:30.140709,3,569,21071-PORTER (A106)
Floyd,A106,pierceb,12/27/2021 20:35:30.140709,1,569,21071-PORTER (A106)
Floyd,A106,trumpd,12/27/2021 20:35:30.140709,409,569,21071-PORTER (A106)
Floyd,A106,westk,12/27/2021 20:35:30.140709,3,569,21071-PORTER (A106)
Floyd,A107,bidenj,12/27/2021 20:35:30.140709,128,476,21071-AUXIER (A107)
Floyd,A107,jorgensenj,12/27/2021 20:35:30.140709,5,476,21071-AUXIER (A107)
Floyd,A107,pierceb,12/27/2021 20:35:30.140709,1,476,21071-AUXIER (A107)
Floyd,A107,trumpd,12/27/2021 20:35:30.140709,337,476,21071-AUXIER (A107)
Floyd,A107,westk,12/27/2021 20:35:30.140709,5,476,21071-AUXIER (A107)
Floyd,A109,bidenj,12/27/2021 20:35:30.140709,107,579,21071-COW CREEK (A109)
Floyd,A109,jorgensenj,12/27/2021 20:35:30.140709,5,579,21071-COW CREEK (A109)
Floyd,A109,pierceb,12/27/2021 20:35:30.140709,1,579,21071-COW CREEK (A109)
Floyd,A109,trumpd,12/27/2021 20:35:30.140709,465,579,21071-COW CREEK (A109)
Floyd,A109,westk,12/27/2021 20:35:30.140709,1,579,21071-COW CREEK (A109)
Floyd,A110,bidenj,12/27/2021 20:35:30.140709,105,369,21071-ALLEN-DWALE (A110)
Floyd,A110,jorgensenj,12/27/2021 20:35:30.140709,5,369,21071-ALLEN-DWALE (A110)
Floyd,A110,pierceb,12/27/2021 20:35:30.140709,1,369,21071-ALLEN-DWALE (A110)
Floyd,A110,trumpd,12/27/2021 20:35:30.140709,256,369,21071-ALLEN-DWALE (A110)
Floyd,A110,westk,12/27/2021 20:35:30.140709,2,369,21071-ALLEN-DWALE (A110)
Floyd,A111,bidenj,12/27/2021 20:35:30.140709,142,505,21071-JIM BANKS (A111)
Floyd,A111,jorgensenj,12/27/2021 20:35:30.140709,2,505,21071-JIM BANKS (A111)
Floyd,A111,pierceb,12/27/2021 20:35:30.140709,0,505,21071-JIM BANKS (A111)
Floyd,A111,trumpd,12/27/2021 20:35:30.140709,359,505,21071-JIM BANKS (A111)
Floyd,A111,westk,12/27/2021 20:35:30.140709,2,505,21071-JIM BANKS (A111)
Floyd,A113,bidenj,12/27/2021 20:35:30.140709,89,542,21071-ABBOTT (A113)
Floyd,A113,jorgensenj,12/27/2021 20:35:30.140709,9,542,21071-ABBOTT (A113)
Floyd,A113,pierceb,12/27/2021 20:35:30.140709,2,542,21071-ABBOTT (A113)
Floyd,A113,trumpd,12/27/2021 20:35:30.140709,442,542,21071-ABBOTT (A113)
Floyd,A113,westk,12/27/2021 20:35:30.140709,0,542,21071-ABBOTT (A113)
Floyd,A116,bidenj,12/27/2021 20:35:30.140709,130,671,21071-CLIFF (A116)
Floyd,A116,jorgensenj,12/27/2021 20:35:30.140709,8,671,21071-CLIFF (A116)
Floyd,A116,pierceb,12/27/2021 20:35:30.140709,0,671,21071-CLIFF (A116)
Floyd,A116,trumpd,12/27/2021 20:35:30.140709,530,671,21071-CLIFF (A116)
Floyd,A116,westk,12/27/2021 20:35:30.140709,3,671,21071-CLIFF (A116)
Floyd,B101,bidenj,12/27/2021 20:35:30.140709,77,285,21071-JOHN POSSUM (B101)
Floyd,B101,jorgensenj,12/27/2021 20:35:30.140709,3,285,21071-JOHN POSSUM (B101)
Floyd,B101,pierceb,12/27/2021 20:35:30.140709,1,285,21071-JOHN POSSUM (B101)
Floyd,B101,trumpd,12/27/2021 20:35:30.140709,203,285,21071-JOHN POSSUM (B101)
Floyd,B101,westk,12/27/2021 20:35:30.140709,1,285,21071-JOHN POSSUM (B101)
Floyd,B102,bidenj,12/27/2021 20:35:30.140709,139,554,21071-MAYTOWN (B102)
Floyd,B102,jorgensenj,12/27/2021 20:35:30.140709,2,554,21071-MAYTOWN (B102)
Floyd,B102,pierceb,12/27/2021 20:35:30.140709,2,554,21071-MAYTOWN (B102)
Floyd,B102,trumpd,12/27/2021 20:35:30.140709,410,554,21071-MAYTOWN (B102)
Floyd,B102,westk,12/27/2021 20:35:30.140709,1,554,21071-MAYTOWN (B102)
Floyd,B103,bidenj,12/27/2021 20:35:30.140709,88,366,21071-BOSCO (B103)
Floyd,B103,jorgensenj,12/27/2021 20:35:30.140709,3,366,21071-BOSCO (B103)
Floyd,B103,pierceb,12/27/2021 20:35:30.140709,0,366,21071-BOSCO (B103)
Floyd,B103,trumpd,12/27/2021 20:35:30.140709,273,366,21071-BOSCO (B103)
