CANDIDATE,Timestamp,VOTE_SHARES,VOTES
bidenj,2020-11-04T08:06:01Z,0,0
trumpd,2020-11-04T08:06:01Z,0,0
bidenj,2020-11-03T23:18:18Z,0.133,6100
trumpd,2020-11-03T23:18:18Z,0.858,6100
bidenj,2020-11-03T23:19:41Z,0.173,7715
trumpd,2020-11-03T23:19:41Z,0.817,7715
bidenj,2020-11-03T23:20:56Z,0.295,23326
trumpd,2020-11-03T23:20:56Z,0.693,23326
bidenj,2020-11-03T23:23:02Z,0.28,26769
trumpd,2020-11-03T23:23:02Z,0.707,26769
bidenj,2020-11-03T23:24:53Z,0.312,52058
trumpd,2020-11-03T23:24:53Z,0.673,52058
bidenj,2020-11-03T23:26:39Z,0.311,55858
trumpd,2020-11-03T23:26:39Z,0.675,55858
bidenj,2020-11-03T23:28:53Z,0.3,64360
trumpd,2020-11-03T23:28:53Z,0.685,64360
bidenj,2020-11-03T23:29:22Z,0.292,67393
trumpd,2020-11-03T23:29:22Z,0.694,67393
bidenj,2020-11-03T23:34:59Z,0.537,150747
trumpd,2020-11-03T23:34:59Z,0.447,150747
bidenj,2020-11-03T23:35:48Z,0.553,175109
trumpd,2020-11-03T23:35:48Z,0.431,175109
bidenj,2020-11-03T23:37:05Z,0.546,179984
trumpd,2020-11-03T23:37:05Z,0.438,179984
bidenj,2020-11-03T23:38:57Z,0.531,189736
trumpd,2020-11-03T23:38:57Z,0.453,189736
bidenj,2020-11-03T23:39:26Z,0.529,190548
trumpd,2020-11-03T23:39:26Z,0.454,190548
bidenj,2020-11-03T23:42:32Z,0.532,193619
trumpd,2020-11-03T23:42:32Z,0.452,193619
bidenj,2020-11-03T23:42:53Z,0.531,194070
trumpd,2020-11-03T23:42:53Z,0.453,194070
bidenj,2020-11-03T23:43:15Z,0.53,195037
trumpd,2020-11-03T23:43:15Z,0.454,195037
bidenj,2020-11-03T23:43:45Z,0.503,234561
trumpd,2020-11-03T23:43:45Z,0.481,234561
bidenj,2020-11-03T23:44:52Z,0.504,237316
