CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2021-01-26T15:40:42Z,2542,1634,40,40,22011
blankenshipd,2021-01-26T15:40:42Z,6,3,40,40,22011
boddiep,2021-01-26T15:40:42Z,6,1,40,40,22011
carrollb,2021-01-26T15:40:42Z,18,9,40,40,22011
hammonsb,2021-01-26T15:40:42Z,3,2,40,40,22011
hoeflingt,2021-01-26T15:40:42Z,5,3,40,40,22011
jorgensenj,2021-01-26T15:40:42Z,172,51,40,40,22011
kennedya,2021-01-26T15:40:42Z,0,0,40,40,22011
la_rivag,2021-01-26T15:40:42Z,3,3,40,40,22011
pierceb,2021-01-26T15:40:42Z,1,0,40,40,22011
simmonsj,2021-01-26T15:40:42Z,13,5,40,40,22011
trumpd,2021-01-26T15:40:42Z,13575,5190,40,40,22011
westk,2021-01-26T15:40:42Z,13,4,40,40,22011
