CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2021-01-26T15:41:37Z,2731,1614,25,25,22027
blankenshipd,2021-01-26T15:41:37Z,4,4,25,25,22027
boddiep,2021-01-26T15:41:37Z,8,4,25,25,22027
carrollb,2021-01-26T15:41:37Z,9,2,25,25,22027
hammonsb,2021-01-26T15:41:37Z,0,0,25,25,22027
hoeflingt,2021-01-26T15:41:37Z,2,1,25,25,22027
jorgensenj,2021-01-26T15:41:37Z,29,12,25,25,22027
kennedya,2021-01-26T15:41:37Z,1,0,25,25,22027
la_rivag,2021-01-26T15:41:37Z,4,2,25,25,22027
pierceb,2021-01-26T15:41:37Z,4,2,25,25,22027
simmonsj,2021-01-26T15:41:37Z,6,4,25,25,22027
trumpd,2021-01-26T15:41:37Z,3770,2066,25,25,22027
westk,2021-01-26T15:41:37Z,12,3,25,25,22027
