CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2021-01-26T15:41:58Z,115577,58971,329,329,22033
blankenshipd,2021-01-26T15:41:58Z,76,28,329,329,22033
boddiep,2021-01-26T15:41:58Z,103,38,329,329,22033
carrollb,2021-01-26T15:41:58Z,329,99,329,329,22033
hammonsb,2021-01-26T15:41:58Z,84,31,329,329,22033
hoeflingt,2021-01-26T15:41:58Z,82,28,329,329,22033
jorgensenj,2021-01-26T15:41:58Z,2440,808,329,329,22033
kennedya,2021-01-26T15:41:58Z,45,17,329,329,22033
la_rivag,2021-01-26T15:41:58Z,111,56,329,329,22033
pierceb,2021-01-26T15:41:58Z,77,28,329,329,22033
simmonsj,2021-01-26T15:41:58Z,219,60,329,329,22033
trumpd,2021-01-26T15:41:58Z,88420,39344,329,329,22033
westk,2021-01-26T15:41:58Z,619,137,329,329,22033
