CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2021-01-26T15:42:40Z,8514,3190,39,39,22047
blankenshipd,2021-01-26T15:42:40Z,6,3,39,39,22047
boddiep,2021-01-26T15:42:40Z,31,5,39,39,22047
carrollb,2021-01-26T15:42:40Z,27,4,39,39,22047
hammonsb,2021-01-26T15:42:40Z,7,0,39,39,22047
hoeflingt,2021-01-26T15:42:40Z,8,2,39,39,22047
jorgensenj,2021-01-26T15:42:40Z,141,28,39,39,22047
kennedya,2021-01-26T15:42:40Z,5,1,39,39,22047
la_rivag,2021-01-26T15:42:40Z,3,0,39,39,22047
pierceb,2021-01-26T15:42:40Z,11,4,39,39,22047
simmonsj,2021-01-26T15:42:40Z,16,3,39,39,22047
trumpd,2021-01-26T15:42:40Z,7893,3286,39,39,22047
westk,2021-01-26T15:42:40Z,57,18,39,39,22047
