CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2021-01-26T15:42:57Z,3208,1780,22,22,22053
blankenshipd,2021-01-26T15:42:57Z,3,2,22,22,22053
boddiep,2021-01-26T15:42:57Z,4,4,22,22,22053
carrollb,2021-01-26T15:42:57Z,19,10,22,22,22053
hammonsb,2021-01-26T15:42:57Z,7,4,22,22,22053
hoeflingt,2021-01-26T15:42:57Z,2,1,22,22,22053
jorgensenj,2021-01-26T15:42:57Z,131,38,22,22,22053
kennedya,2021-01-26T15:42:57Z,2,1,22,22,22053
la_rivag,2021-01-26T15:42:57Z,6,4,22,22,22053
pierceb,2021-01-26T15:42:57Z,5,4,22,22,22053
simmonsj,2021-01-26T15:42:57Z,9,6,22,22,22053
trumpd,2021-01-26T15:42:57Z,11423,5377,22,22,22053
westk,2021-01-26T15:42:57Z,22,6,22,22,22053
