CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2021-01-26T15:43:13Z,638,323,24,24,22059
blankenshipd,2021-01-26T15:43:13Z,4,3,24,24,22059
boddiep,2021-01-26T15:43:13Z,1,1,24,24,22059
carrollb,2021-01-26T15:43:13Z,4,1,24,24,22059
hammonsb,2021-01-26T15:43:13Z,1,1,24,24,22059
hoeflingt,2021-01-26T15:43:13Z,3,2,24,24,22059
jorgensenj,2021-01-26T15:43:13Z,39,13,24,24,22059
kennedya,2021-01-26T15:43:13Z,0,0,24,24,22059
la_rivag,2021-01-26T15:43:13Z,2,1,24,24,22059
pierceb,2021-01-26T15:43:13Z,1,0,24,24,22059
simmonsj,2021-01-26T15:43:13Z,1,0,24,24,22059
trumpd,2021-01-26T15:43:13Z,6378,2925,24,24,22059
westk,2021-01-26T15:43:13Z,5,2,24,24,22059
