CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2021-01-26T15:43:41Z,147854,89458,351,351,22071
blankenshipd,2021-01-26T15:43:41Z,42,18,351,351,22071
boddiep,2021-01-26T15:43:41Z,100,64,351,351,22071
carrollb,2021-01-26T15:43:41Z,178,51,351,351,22071
hammonsb,2021-01-26T15:43:41Z,52,19,351,351,22071
hoeflingt,2021-01-26T15:43:41Z,37,14,351,351,22071
jorgensenj,2021-01-26T15:43:41Z,1603,483,351,351,22071
kennedya,2021-01-26T15:43:41Z,111,50,351,351,22071
la_rivag,2021-01-26T15:43:41Z,262,125,351,351,22071
pierceb,2021-01-26T15:43:41Z,76,28,351,351,22071
simmonsj,2021-01-26T15:43:41Z,132,46,351,351,22071
trumpd,2021-01-26T15:43:41Z,26664,10053,351,351,22071
westk,2021-01-26T15:43:41Z,708,195,351,351,22071
