CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2021-01-26T15:44:04Z,1644,926,18,18,22081
blankenshipd,2021-01-26T15:44:04Z,4,2,18,18,22081
boddiep,2021-01-26T15:44:04Z,10,6,18,18,22081
carrollb,2021-01-26T15:44:04Z,5,2,18,18,22081
hammonsb,2021-01-26T15:44:04Z,1,1,18,18,22081
hoeflingt,2021-01-26T15:44:04Z,3,2,18,18,22081
jorgensenj,2021-01-26T15:44:04Z,31,7,18,18,22081
kennedya,2021-01-26T15:44:04Z,4,2,18,18,22081
la_rivag,2021-01-26T15:44:04Z,2,1,18,18,22081
pierceb,2021-01-26T15:44:04Z,1,1,18,18,22081
simmonsj,2021-01-26T15:44:04Z,4,2,18,18,22081
trumpd,2021-01-26T15:44:04Z,2413,971,18,18,22081
westk,2021-01-26T15:44:04Z,10,5,18,18,22081
