CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2021-01-26T15:44:34Z,3346,1708,11,11,22091
blankenshipd,2021-01-26T15:44:34Z,7,4,11,11,22091
boddiep,2021-01-26T15:44:34Z,11,5,11,11,22091
carrollb,2021-01-26T15:44:34Z,14,3,11,11,22091
hammonsb,2021-01-26T15:44:34Z,3,1,11,11,22091
hoeflingt,2021-01-26T15:44:34Z,2,0,11,11,22091
jorgensenj,2021-01-26T15:44:34Z,43,8,11,11,22091
kennedya,2021-01-26T15:44:34Z,0,0,11,11,22091
la_rivag,2021-01-26T15:44:34Z,4,1,11,11,22091
pierceb,2021-01-26T15:44:34Z,2,0,11,11,22091
simmonsj,2021-01-26T15:44:34Z,2,0,11,11,22091
trumpd,2021-01-26T15:44:34Z,2714,1005,11,11,22091
westk,2021-01-26T15:44:34Z,10,4,11,11,22091
