CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2021-01-26T15:46:37Z,11198,5083,92,92,22109
blankenshipd,2021-01-26T15:46:37Z,17,1,92,92,22109
boddiep,2021-01-26T15:46:37Z,27,10,92,92,22109
carrollb,2021-01-26T15:46:37Z,51,14,92,92,22109
hammonsb,2021-01-26T15:46:37Z,11,5,92,92,22109
hoeflingt,2021-01-26T15:46:37Z,16,7,92,92,22109
jorgensenj,2021-01-26T15:46:37Z,434,120,92,92,22109
kennedya,2021-01-26T15:46:37Z,9,4,92,92,22109
la_rivag,2021-01-26T15:46:37Z,17,5,92,92,22109
pierceb,2021-01-26T15:46:37Z,15,6,92,92,22109
simmonsj,2021-01-26T15:46:37Z,25,6,92,92,22109
trumpd,2021-01-26T15:46:37Z,34339,13750,92,92,22109
westk,2021-01-26T15:46:37Z,81,13,92,92,22109
