CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2021-01-26T15:46:48Z,5009,2285,55,55,22113
blankenshipd,2021-01-26T15:46:48Z,10,3,55,55,22113
boddiep,2021-01-26T15:46:48Z,6,2,55,55,22113
carrollb,2021-01-26T15:46:48Z,36,9,55,55,22113
hammonsb,2021-01-26T15:46:48Z,6,1,55,55,22113
hoeflingt,2021-01-26T15:46:48Z,7,5,55,55,22113
jorgensenj,2021-01-26T15:46:48Z,228,61,55,55,22113
kennedya,2021-01-26T15:46:48Z,9,5,55,55,22113
la_rivag,2021-01-26T15:46:48Z,9,3,55,55,22113
pierceb,2021-01-26T15:46:48Z,12,3,55,55,22113
simmonsj,2021-01-26T15:46:48Z,17,6,55,55,22113
trumpd,2021-01-26T15:46:48Z,21930,8119,55,55,22113
westk,2021-01-26T15:46:48Z,45,10,55,55,22113
