CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2021-01-26T15:46:59Z,5970,3267,41,41,22117
blankenshipd,2021-01-26T15:46:59Z,5,2,41,41,22117
boddiep,2021-01-26T15:46:59Z,4,3,41,41,22117
carrollb,2021-01-26T15:46:59Z,28,6,41,41,22117
hammonsb,2021-01-26T15:46:59Z,4,3,41,41,22117
hoeflingt,2021-01-26T15:46:59Z,9,9,41,41,22117
jorgensenj,2021-01-26T15:46:59Z,120,46,41,41,22117
kennedya,2021-01-26T15:46:59Z,3,1,41,41,22117
la_rivag,2021-01-26T15:46:59Z,4,3,41,41,22117
pierceb,2021-01-26T15:46:59Z,3,3,41,41,22117
simmonsj,2021-01-26T15:46:59Z,16,6,41,41,22117
trumpd,2021-01-26T15:46:59Z,13307,6141,41,41,22117
westk,2021-01-26T15:46:59Z,40,11,41,41,22117
