CANDIDATE,Timestamp,VOTE_SHARES,VOTES
bidenj,2020-11-04T05:58:59Z,0,0
trumpd,2020-11-04T05:58:59Z,0,0
bidenj,2020-11-04T02:05:26Z,0.455,26772
trumpd,2020-11-04T02:05:26Z,0.535,26772
bidenj,2020-11-04T02:06:56Z,0.458,58063
trumpd,2020-11-04T02:06:56Z,0.533,58063
bidenj,2020-11-04T02:09:11Z,0.412,95988
trumpd,2020-11-04T02:09:11Z,0.578,95988
bidenj,2020-11-04T02:10:04Z,0.397,138360
trumpd,2020-11-04T02:10:04Z,0.592,138360
bidenj,2020-11-04T02:11:16Z,0.386,162026
trumpd,2020-11-04T02:11:16Z,0.604,162026
bidenj,2020-11-04T02:14:55Z,0.377,171177
trumpd,2020-11-04T02:14:55Z,0.613,171177
bidenj,2020-11-04T02:18:38Z,0.372,175033
trumpd,2020-11-04T02:18:38Z,0.618,175033
bidenj,2020-11-04T02:24:00Z,0.372,230152
trumpd,2020-11-04T02:24:00Z,0.617,230152
bidenj,2020-11-04T02:25:05Z,0.369,242271
trumpd,2020-11-04T02:25:05Z,0.62,242271
bidenj,2020-11-04T02:29:59Z,0.369,242890
trumpd,2020-11-04T02:29:59Z,0.62,242890
bidenj,2020-11-04T02:34:42Z,0.358,273163
trumpd,2020-11-04T02:34:42Z,0.631,273163
bidenj,2020-11-04T02:35:14Z,0.36,279473
trumpd,2020-11-04T02:35:14Z,0.629,279473
bidenj,2020-11-04T02:39:17Z,0.36,286575
trumpd,2020-11-04T02:39:17Z,0.629,286575
bidenj,2020-11-04T02:40:16Z,0.361,287458
trumpd,2020-11-04T02:40:16Z,0.628,287458
bidenj,2020-11-04T02:42:22Z,0.398,369805
trumpd,2020-11-04T02:42:22Z,0.59,369805
bidenj,2020-11-04T02:42:28Z,0.398,370072
trumpd,2020-11-04T02:42:28Z,0.59,370072
bidenj,2020-11-04T02:45:43Z,0.399,406767
trumpd,2020-11-04T02:45:43Z,0.589,406767
bidenj,2020-11-04T02:51:09Z,0.397,418727
trumpd,2020-11-04T02:51:09Z,0.591,418727
bidenj,2020-11-04T02:51:31Z,0.391,485853
trumpd,2020-11-04T02:51:31Z,0.596,485853
bidenj,2020-11-04T02:54:15Z,0.379,613401
trumpd,2020-11-04T02:54:15Z,0.607,613401
bidenj,2020-11-04T02:55:57Z,0.378,648786
trumpd,2020-11-04T02:55:57Z,0.608,648786
bidenj,2020-11-04T02:57:25Z,0.378,721059
trumpd,2020-11-04T02:57:25Z,0.608,721059
bidenj,2020-11-04T03:03:44Z,0.369,822516
trumpd,2020-11-04T03:03:44Z,0.616,822516
bidenj,2020-11-04T03:06:25Z,0.368,835533
trumpd,2020-11-04T03:06:25Z,0.617,835533
bidenj,2020-11-04T03:10:47Z,0.361,915208
trumpd,2020-11-04T03:10:47Z,0.623,915208
bidenj,2020-11-04T03:11:52Z,0.361,920496
trumpd,2020-11-04T03:11:52Z,0.624,920496
bidenj,2020-11-04T03:12:53Z,0.36,960085
trumpd,2020-11-04T03:12:53Z,0.624,960085
bidenj,2020-11-04T03:16:35Z,0.36,966779
trumpd,2020-11-04T03:16:35Z,0.624,966779
bidenj,2020-11-04T03:18:18Z,0.351,1044714
trumpd,2020-11-04T03:18:18Z,0.632,1044714
bidenj,2020-11-04T03:21:07Z,0.35,1081451
trumpd,2020-11-04T03:21:07Z,0.634,1081451
bidenj,2020-11-04T03:22:16Z,0.347,1117565
trumpd,2020-11-04T03:22:16Z,0.637,1117565
bidenj,2020-11-04T03:22:21Z,0.346,1133908
trumpd,2020-11-04T03:22:21Z,0.638,1133908
bidenj,2020-11-04T03:25:26Z,0.345,1138587
trumpd,2020-11-04T03:25:26Z,0.639,1138587
bidenj,2020-11-04T03:26:09Z,0.342,1171940
trumpd,2020-11-04T03:26:09Z,0.642,1171940
bidenj,2020-11-04T03:31:33Z,0.341,1214583
trumpd,2020-11-04T03:31:33Z,0.642,1214583
bidenj,2020-11-04T03:32:45Z,0.341,1219888
trumpd,2020-11-04T03:32:45Z,0.642,1219888
bidenj,2020-11-04T03:34:42Z,0.34,1300921
trumpd,2020-11-04T03:34:42Z,0.644,1300921
bidenj,2020-11-04T03:36:41Z,0.338,1332887
trumpd,2020-11-04T03:36:41Z,0.645,1332887
bidenj,2020-11-04T03:38:55Z,0.356,1462898
trumpd,2020-11-04T03:38:55Z,0.627,1462898
bidenj,2020-11-04T03:40:25Z,0.355,1478224
trumpd,2020-11-04T03:40:25Z,0.628,1478224
bidenj,2020-11-04T03:44:47Z,0.357,1560778
trumpd,2020-11-04T03:44:47Z,0.626,1560778
bidenj,2020-11-04T03:47:17Z,0.358,1568964
trumpd,2020-11-04T03:47:17Z,0.626,1568964
bidenj,2020-11-04T03:51:48Z,0.355,1599874
trumpd,2020-11-04T03:51:48Z,0.628,1599874
bidenj,2020-11-04T03:55:21Z,0.354,1645927
trumpd,2020-11-04T03:55:21Z,0.629,1645927
bidenj,2020-11-04T03:58:57Z,0.354,1661323
