CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
billiotb,2021-01-26T15:40:52Z,203,0,82,82,22015
bourgeoisj,2021-01-26T15:40:52Z,305,0,82,82,22015
cassidyb,2021-01-26T15:40:52Z,36931,0,82,82,22015
daretr,2021-01-26T15:40:52Z,73,0,82,82,22015
edwardsd,2021-01-26T15:40:52Z,2511,0,82,82,22015
johnx,2021-01-26T15:40:52Z,43,0,82,82,22015
knightd,2021-01-26T15:40:52Z,567,0,82,82,22015
mendozav,2021-01-26T15:40:52Z,170,0,82,82,22015
montgomeryj,2021-01-26T15:40:52Z,117,0,82,82,22015
murphyd,2021-01-26T15:40:52Z,1135,0,82,82,22015
perkinsa,2021-01-26T15:40:52Z,9834,0,82,82,22015
piercea,2021-01-26T15:40:52Z,613,0,82,82,22015
pricem,2021-01-26T15:40:52Z,133,0,82,82,22015
siglera,2021-01-26T15:40:52Z,325,0,82,82,22015
wenstrupp,2021-01-26T15:40:52Z,240,0,82,82,22015
