CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
billiotb,2021-01-26T15:41:13Z,510,0,123,123,22019
bourgeoisj,2021-01-26T15:41:13Z,800,0,123,123,22019
cassidyb,2021-01-26T15:41:13Z,52888,0,123,123,22019
daretr,2021-01-26T15:41:13Z,148,0,123,123,22019
edwardsd,2021-01-26T15:41:13Z,11082,0,123,123,22019
johnx,2021-01-26T15:41:13Z,93,0,123,123,22019
knightd,2021-01-26T15:41:13Z,1992,0,123,123,22019
mendozav,2021-01-26T15:41:13Z,300,0,123,123,22019
montgomeryj,2021-01-26T15:41:13Z,288,0,123,123,22019
murphyd,2021-01-26T15:41:13Z,2418,0,123,123,22019
perkinsa,2021-01-26T15:41:13Z,5910,0,123,123,22019
piercea,2021-01-26T15:41:13Z,2033,0,123,123,22019
pricem,2021-01-26T15:41:13Z,371,0,123,123,22019
siglera,2021-01-26T15:41:13Z,733,0,123,123,22019
wenstrupp,2021-01-26T15:41:13Z,701,0,123,123,22019
