CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
billiotb,2021-01-26T15:41:58Z,1205,0,329,329,22033
bourgeoisj,2021-01-26T15:41:58Z,1323,0,329,329,22033
cassidyb,2021-01-26T15:41:58Z,93514,0,329,329,22033
daretr,2021-01-26T15:41:58Z,352,0,329,329,22033
edwardsd,2021-01-26T15:41:58Z,29504,0,329,329,22033
johnx,2021-01-26T15:41:58Z,255,0,329,329,22033
knightd,2021-01-26T15:41:58Z,4156,0,329,329,22033
mendozav,2021-01-26T15:41:58Z,674,0,329,329,22033
montgomeryj,2021-01-26T15:41:58Z,422,0,329,329,22033
murphyd,2021-01-26T15:41:58Z,2234,0,329,329,22033
perkinsa,2021-01-26T15:41:58Z,58688,0,329,329,22033
piercea,2021-01-26T15:41:58Z,8540,0,329,329,22033
pricem,2021-01-26T15:41:58Z,587,0,329,329,22033
siglera,2021-01-26T15:41:58Z,1171,0,329,329,22033
wenstrupp,2021-01-26T15:41:58Z,1329,0,329,329,22033
