CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
billiotb,2021-01-26T15:42:16Z,159,0,56,56,22039
bourgeoisj,2021-01-26T15:42:16Z,169,0,56,56,22039
cassidyb,2021-01-26T15:42:16Z,10374,0,56,56,22039
daretr,2021-01-26T15:42:16Z,53,0,56,56,22039
edwardsd,2021-01-26T15:42:16Z,1307,0,56,56,22039
johnx,2021-01-26T15:42:16Z,27,0,56,56,22039
knightd,2021-01-26T15:42:16Z,194,0,56,56,22039
mendozav,2021-01-26T15:42:16Z,35,0,56,56,22039
montgomeryj,2021-01-26T15:42:16Z,12,0,56,56,22039
murphyd,2021-01-26T15:42:16Z,309,0,56,56,22039
perkinsa,2021-01-26T15:42:16Z,1418,0,56,56,22039
piercea,2021-01-26T15:42:16Z,162,0,56,56,22039
pricem,2021-01-26T15:42:16Z,48,0,56,56,22039
siglera,2021-01-26T15:42:16Z,33,0,56,56,22039
wenstrupp,2021-01-26T15:42:16Z,75,0,56,56,22039
