CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
billiotb,2021-01-26T15:42:45Z,45,0,31,31,22049
bourgeoisj,2021-01-26T15:42:45Z,45,0,31,31,22049
cassidyb,2021-01-26T15:42:45Z,5143,0,31,31,22049
daretr,2021-01-26T15:42:45Z,22,0,31,31,22049
edwardsd,2021-01-26T15:42:45Z,591,0,31,31,22049
johnx,2021-01-26T15:42:45Z,15,0,31,31,22049
knightd,2021-01-26T15:42:45Z,96,0,31,31,22049
mendozav,2021-01-26T15:42:45Z,18,0,31,31,22049
montgomeryj,2021-01-26T15:42:45Z,11,0,31,31,22049
murphyd,2021-01-26T15:42:45Z,255,0,31,31,22049
perkinsa,2021-01-26T15:42:45Z,989,0,31,31,22049
piercea,2021-01-26T15:42:45Z,97,0,31,31,22049
pricem,2021-01-26T15:42:45Z,24,0,31,31,22049
siglera,2021-01-26T15:42:45Z,27,0,31,31,22049
wenstrupp,2021-01-26T15:42:45Z,28,0,31,31,22049
