CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
billiotb,2021-01-26T15:42:57Z,99,0,22,22,22053
bourgeoisj,2021-01-26T15:42:57Z,114,0,22,22,22053
cassidyb,2021-01-26T15:42:57Z,10937,0,22,22,22053
daretr,2021-01-26T15:42:57Z,18,0,22,22,22053
edwardsd,2021-01-26T15:42:57Z,988,0,22,22,22053
johnx,2021-01-26T15:42:57Z,17,0,22,22,22053
knightd,2021-01-26T15:42:57Z,198,0,22,22,22053
mendozav,2021-01-26T15:42:57Z,29,0,22,22,22053
montgomeryj,2021-01-26T15:42:57Z,13,0,22,22,22053
murphyd,2021-01-26T15:42:57Z,423,0,22,22,22053
perkinsa,2021-01-26T15:42:57Z,1184,0,22,22,22053
piercea,2021-01-26T15:42:57Z,182,0,22,22,22053
pricem,2021-01-26T15:42:57Z,34,0,22,22,22053
siglera,2021-01-26T15:42:57Z,71,0,22,22,22053
wenstrupp,2021-01-26T15:42:57Z,52,0,22,22,22053
