CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
billiotb,2021-01-26T15:42:52Z,2166,0,273,273,22051
bourgeoisj,2021-01-26T15:42:52Z,1556,0,273,273,22051
cassidyb,2021-01-26T15:42:52Z,104645,0,273,273,22051
daretr,2021-01-26T15:42:52Z,388,0,273,273,22051
edwardsd,2021-01-26T15:42:52Z,23680,0,273,273,22051
johnx,2021-01-26T15:42:52Z,259,0,273,273,22051
knightd,2021-01-26T15:42:52Z,3558,0,273,273,22051
mendozav,2021-01-26T15:42:52Z,1143,0,273,273,22051
montgomeryj,2021-01-26T15:42:52Z,344,0,273,273,22051
murphyd,2021-01-26T15:42:52Z,2574,0,273,273,22051
perkinsa,2021-01-26T15:42:52Z,37965,0,273,273,22051
piercea,2021-01-26T15:42:52Z,4564,0,273,273,22051
pricem,2021-01-26T15:42:52Z,713,0,273,273,22051
siglera,2021-01-26T15:42:52Z,996,0,273,273,22051
wenstrupp,2021-01-26T15:42:52Z,1432,0,273,273,22051
