CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
billiotb,2021-01-26T15:43:36Z,153,0,50,50,22069
bourgeoisj,2021-01-26T15:43:36Z,99,0,50,50,22069
cassidyb,2021-01-26T15:43:36Z,9197,0,50,50,22069
daretr,2021-01-26T15:43:36Z,27,0,50,50,22069
edwardsd,2021-01-26T15:43:36Z,1435,0,50,50,22069
johnx,2021-01-26T15:43:36Z,19,0,50,50,22069
knightd,2021-01-26T15:43:36Z,276,0,50,50,22069
mendozav,2021-01-26T15:43:36Z,50,0,50,50,22069
montgomeryj,2021-01-26T15:43:36Z,299,0,50,50,22069
murphyd,2021-01-26T15:43:36Z,289,0,50,50,22069
perkinsa,2021-01-26T15:43:36Z,3605,0,50,50,22069
piercea,2021-01-26T15:43:36Z,284,0,50,50,22069
pricem,2021-01-26T15:43:36Z,63,0,50,50,22069
siglera,2021-01-26T15:43:36Z,64,0,50,50,22069
wenstrupp,2021-01-26T15:43:36Z,125,0,50,50,22069
