CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
billiotb,2021-01-26T15:43:54Z,124,0,28,28,22077
bourgeoisj,2021-01-26T15:43:54Z,128,0,28,28,22077
cassidyb,2021-01-26T15:43:54Z,7445,0,28,28,22077
daretr,2021-01-26T15:43:54Z,29,0,28,28,22077
edwardsd,2021-01-26T15:43:54Z,1341,0,28,28,22077
johnx,2021-01-26T15:43:54Z,10,0,28,28,22077
knightd,2021-01-26T15:43:54Z,205,0,28,28,22077
mendozav,2021-01-26T15:43:54Z,34,0,28,28,22077
montgomeryj,2021-01-26T15:43:54Z,13,0,28,28,22077
murphyd,2021-01-26T15:43:54Z,131,0,28,28,22077
perkinsa,2021-01-26T15:43:54Z,1916,0,28,28,22077
piercea,2021-01-26T15:43:54Z,257,0,28,28,22077
pricem,2021-01-26T15:43:54Z,23,0,28,28,22077
siglera,2021-01-26T15:43:54Z,33,0,28,28,22077
wenstrupp,2021-01-26T15:43:54Z,73,0,28,28,22077
