CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
billiotb,2021-01-26T15:44:04Z,25,0,18,18,22081
bourgeoisj,2021-01-26T15:44:04Z,34,0,18,18,22081
cassidyb,2021-01-26T15:44:04Z,2291,0,18,18,22081
daretr,2021-01-26T15:44:04Z,8,0,18,18,22081
edwardsd,2021-01-26T15:44:04Z,245,0,18,18,22081
johnx,2021-01-26T15:44:04Z,2,0,18,18,22081
knightd,2021-01-26T15:44:04Z,32,0,18,18,22081
mendozav,2021-01-26T15:44:04Z,11,0,18,18,22081
montgomeryj,2021-01-26T15:44:04Z,10,0,18,18,22081
murphyd,2021-01-26T15:44:04Z,67,0,18,18,22081
perkinsa,2021-01-26T15:44:04Z,1194,0,18,18,22081
piercea,2021-01-26T15:44:04Z,43,0,18,18,22081
pricem,2021-01-26T15:44:04Z,10,0,18,18,22081
siglera,2021-01-26T15:44:04Z,9,0,18,18,22081
wenstrupp,2021-01-26T15:44:04Z,14,0,18,18,22081
