CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
billiotb,2021-01-26T15:45:52Z,114,0,30,30,22093
bourgeoisj,2021-01-26T15:45:52Z,126,0,30,30,22093
cassidyb,2021-01-26T15:45:52Z,5927,0,30,30,22093
daretr,2021-01-26T15:45:52Z,27,0,30,30,22093
edwardsd,2021-01-26T15:45:52Z,2040,0,30,30,22093
johnx,2021-01-26T15:45:52Z,15,0,30,30,22093
knightd,2021-01-26T15:45:52Z,230,0,30,30,22093
mendozav,2021-01-26T15:45:52Z,22,0,30,30,22093
montgomeryj,2021-01-26T15:45:52Z,22,0,30,30,22093
murphyd,2021-01-26T15:45:52Z,134,0,30,30,22093
perkinsa,2021-01-26T15:45:52Z,2753,0,30,30,22093
piercea,2021-01-26T15:45:52Z,310,0,30,30,22093
pricem,2021-01-26T15:45:52Z,48,0,30,30,22093
siglera,2021-01-26T15:45:52Z,15,0,30,30,22093
wenstrupp,2021-01-26T15:45:52Z,99,0,30,30,22093
