CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
billiotb,2021-01-26T15:45:57Z,219,0,39,39,22095
bourgeoisj,2021-01-26T15:45:57Z,176,0,39,39,22095
cassidyb,2021-01-26T15:45:57Z,7518,0,39,39,22095
daretr,2021-01-26T15:45:57Z,54,0,39,39,22095
edwardsd,2021-01-26T15:45:57Z,5355,0,39,39,22095
johnx,2021-01-26T15:45:57Z,22,0,39,39,22095
knightd,2021-01-26T15:45:57Z,641,0,39,39,22095
mendozav,2021-01-26T15:45:57Z,91,0,39,39,22095
montgomeryj,2021-01-26T15:45:57Z,49,0,39,39,22095
murphyd,2021-01-26T15:45:57Z,225,0,39,39,22095
perkinsa,2021-01-26T15:45:57Z,4815,0,39,39,22095
piercea,2021-01-26T15:45:57Z,773,0,39,39,22095
pricem,2021-01-26T15:45:57Z,102,0,39,39,22095
siglera,2021-01-26T15:45:57Z,64,0,39,39,22095
wenstrupp,2021-01-26T15:45:57Z,191,0,39,39,22095
