CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
billiotb,2021-01-26T15:46:11Z,235,0,51,51,22099
bourgeoisj,2021-01-26T15:46:11Z,254,0,51,51,22099
cassidyb,2021-01-26T15:46:11Z,17457,0,51,51,22099
daretr,2021-01-26T15:46:11Z,62,0,51,51,22099
edwardsd,2021-01-26T15:46:11Z,2522,0,51,51,22099
johnx,2021-01-26T15:46:11Z,39,0,51,51,22099
knightd,2021-01-26T15:46:11Z,406,0,51,51,22099
mendozav,2021-01-26T15:46:11Z,71,0,51,51,22099
montgomeryj,2021-01-26T15:46:11Z,51,0,51,51,22099
murphyd,2021-01-26T15:46:11Z,486,0,51,51,22099
perkinsa,2021-01-26T15:46:11Z,3252,0,51,51,22099
piercea,2021-01-26T15:46:11Z,610,0,51,51,22099
pricem,2021-01-26T15:46:11Z,168,0,51,51,22099
siglera,2021-01-26T15:46:11Z,99,0,51,51,22099
wenstrupp,2021-01-26T15:46:11Z,149,0,51,51,22099
