CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
billiotb,2021-01-26T15:46:21Z,747,0,169,169,22103
bourgeoisj,2021-01-26T15:46:21Z,738,0,169,169,22103
cassidyb,2021-01-26T15:46:21Z,98016,0,169,169,22103
daretr,2021-01-26T15:46:21Z,174,0,169,169,22103
edwardsd,2021-01-26T15:46:21Z,10438,0,169,169,22103
johnx,2021-01-26T15:46:21Z,144,0,169,169,22103
knightd,2021-01-26T15:46:21Z,1890,0,169,169,22103
mendozav,2021-01-26T15:46:21Z,765,0,169,169,22103
montgomeryj,2021-01-26T15:46:21Z,464,0,169,169,22103
murphyd,2021-01-26T15:46:21Z,2732,0,169,169,22103
perkinsa,2021-01-26T15:46:21Z,15777,0,169,169,22103
piercea,2021-01-26T15:46:21Z,2525,0,169,169,22103
pricem,2021-01-26T15:46:21Z,471,0,169,169,22103
siglera,2021-01-26T15:46:21Z,1103,0,169,169,22103
wenstrupp,2021-01-26T15:46:21Z,969,0,169,169,22103
