CANDIDATE,Timestamp,VOTE_SHARES,VOTES
allenj,2020-11-04T09:51:04Z,0,0
pingreec,2020-11-04T09:51:04Z,0,0
write-ins,2020-11-04T09:51:04Z,0,0
allenj,2020-11-04T01:37:56Z,0.394,4578
pingreec,2020-11-04T01:37:56Z,0.606,4578
write-ins,2020-11-04T01:37:56Z,0.001,4578
allenj,2020-11-04T02:07:05Z,0.389,4640
pingreec,2020-11-04T02:07:05Z,0.61,4640
write-ins,2020-11-04T02:07:05Z,0.001,4640
allenj,2020-11-04T02:17:04Z,0.438,6856
pingreec,2020-11-04T02:17:04Z,0.561,6856
write-ins,2020-11-04T02:17:04Z,0.001,6856
allenj,2020-11-04T02:26:57Z,0.443,11243
pingreec,2020-11-04T02:26:57Z,0.551,11243
write-ins,2020-11-04T02:26:57Z,0.006,11243
allenj,2020-11-04T02:50:19Z,0.411,17192
pingreec,2020-11-04T02:50:19Z,0.585,17192
write-ins,2020-11-04T02:50:19Z,0.004,17192
allenj,2020-11-04T02:51:10Z,0.419,18656
pingreec,2020-11-04T02:51:10Z,0.577,18656
write-ins,2020-11-04T02:51:10Z,0.004,18656
allenj,2020-11-04T02:52:14Z,0.392,27613
pingreec,2020-11-04T02:52:14Z,0.604,27613
write-ins,2020-11-04T02:52:14Z,0.003,27613
allenj,2020-11-04T02:56:56Z,0.409,34517
pingreec,2020-11-04T02:56:56Z,0.589,34517
write-ins,2020-11-04T02:56:56Z,0.003,34517
allenj,2020-11-04T03:03:58Z,0.406,36012
pingreec,2020-11-04T03:03:58Z,0.591,36012
write-ins,2020-11-04T03:03:58Z,0.004,36012
allenj,2020-11-04T03:06:19Z,0.424,43567
pingreec,2020-11-04T03:06:19Z,0.573,43567
write-ins,2020-11-04T03:06:19Z,0.003,43567
allenj,2020-11-04T03:15:08Z,0.427,45367
pingreec,2020-11-04T03:15:08Z,0.57,45367
write-ins,2020-11-04T03:15:08Z,0.003,45367
allenj,2020-11-04T03:20:28Z,0.429,46397
pingreec,2020-11-04T03:20:28Z,0.568,46397
write-ins,2020-11-04T03:20:28Z,0.003,46397
allenj,2020-11-04T03:26:40Z,0.428,47224
pingreec,2020-11-04T03:26:40Z,0.569,47224
write-ins,2020-11-04T03:26:40Z,0.003,47224
allenj,2020-11-04T03:44:54Z,0.427,48609
pingreec,2020-11-04T03:44:54Z,0.57,48609
write-ins,2020-11-04T03:44:54Z,0.003,48609
allenj,2020-11-04T03:48:44Z,0.433,53912
pingreec,2020-11-04T03:48:44Z,0.565,53912
write-ins,2020-11-04T03:48:44Z,0.002,53912
allenj,2020-11-04T03:50:52Z,0.435,55460
pingreec,2020-11-04T03:50:52Z,0.563,55460
write-ins,2020-11-04T03:50:52Z,0.002,55460
allenj,2020-11-04T03:53:35Z,0.424,63180
pingreec,2020-11-04T03:53:35Z,0.574,63180
write-ins,2020-11-04T03:53:35Z,0.002,63180
allenj,2020-11-04T03:55:05Z,0.428,66227
pingreec,2020-11-04T03:55:05Z,0.57,66227
write-ins,2020-11-04T03:55:05Z,0.002,66227
allenj,2020-11-04T03:59:37Z,0.432,70829
pingreec,2020-11-04T03:59:37Z,0.566,70829
write-ins,2020-11-04T03:59:37Z,0.002,70829
allenj,2020-11-04T04:05:07Z,0.435,72592
pingreec,2020-11-04T04:05:07Z,0.563,72592
write-ins,2020-11-04T04:05:07Z,0.002,72592
allenj,2020-11-04T04:06:43Z,0.416,79601
pingreec,2020-11-04T04:06:43Z,0.575,79601
write-ins,2020-11-04T04:06:43Z,0.008,79601
allenj,2020-11-04T04:09:34Z,0.418,81272
pingreec,2020-11-04T04:09:34Z,0.574,81272
write-ins,2020-11-04T04:09:34Z,0.008,81272
allenj,2020-11-04T04:13:57Z,0.406,92218
pingreec,2020-11-04T04:13:57Z,0.586,92218
write-ins,2020-11-04T04:13:57Z,0.007,92218
allenj,2020-11-04T04:18:01Z,0.402,100344
pingreec,2020-11-04T04:18:01Z,0.591,100344
write-ins,2020-11-04T04:18:01Z,0.007,100344
allenj,2020-11-04T04:18:23Z,0.399,109870
pingreec,2020-11-04T04:18:23Z,0.594,109870
write-ins,2020-11-04T04:18:23Z,0.006,109870
allenj,2020-11-04T04:18:39Z,0.401,113102
pingreec,2020-11-04T04:18:39Z,0.593,113102
write-ins,2020-11-04T04:18:39Z,0.006,113102
allenj,2020-11-04T04:21:38Z,0.399,114899
pingreec,2020-11-04T04:21:38Z,0.595,114899
write-ins,2020-11-04T04:21:38Z,0.006,114899
allenj,2020-11-04T04:25:59Z,0.399,115965
pingreec,2020-11-04T04:25:59Z,0.595,115965
write-ins,2020-11-04T04:25:59Z,0.006,115965
allenj,2020-11-04T04:26:17Z,0.401,116913
pingreec,2020-11-04T04:26:17Z,0.593,116913
write-ins,2020-11-04T04:26:17Z,0.006,116913
