CANDIDATE,Timestamp,VOTE_SHARES,VOTES
bidenj,2020-11-04T10:02:24Z,0,0
trumpd,2020-11-04T10:02:24Z,0,0
bidenj,2020-11-04T01:34:20Z,0.27,274
trumpd,2020-11-04T01:34:20Z,0.708,274
bidenj,2020-11-04T01:36:23Z,0.572,4937
trumpd,2020-11-04T01:36:23Z,0.391,4937
bidenj,2020-11-04T01:39:28Z,0.533,7163
trumpd,2020-11-04T01:39:28Z,0.432,7163
bidenj,2020-11-04T01:42:18Z,0.503,9205
trumpd,2020-11-04T01:42:18Z,0.462,9205
bidenj,2020-11-04T01:43:03Z,0.487,10077
trumpd,2020-11-04T01:43:03Z,0.48,10077
bidenj,2020-11-04T01:48:02Z,0.464,10817
trumpd,2020-11-04T01:48:02Z,0.504,10817
bidenj,2020-11-04T01:50:52Z,0.456,11811
trumpd,2020-11-04T01:50:52Z,0.512,11811
bidenj,2020-11-04T01:50:54Z,0.465,12793
trumpd,2020-11-04T01:50:54Z,0.503,12793
bidenj,2020-11-04T01:53:21Z,0.467,12855
trumpd,2020-11-04T01:53:21Z,0.501,12855
bidenj,2020-11-04T01:53:38Z,0.461,13339
trumpd,2020-11-04T01:53:38Z,0.507,13339
bidenj,2020-11-04T01:53:43Z,0.457,14996
trumpd,2020-11-04T01:53:43Z,0.508,14996
bidenj,2020-11-04T01:55:41Z,0.464,15441
trumpd,2020-11-04T01:55:41Z,0.501,15441
bidenj,2020-11-04T02:03:17Z,0.457,16211
trumpd,2020-11-04T02:03:17Z,0.509,16211
bidenj,2020-11-04T02:03:41Z,0.455,18537
trumpd,2020-11-04T02:03:41Z,0.512,18537
bidenj,2020-11-04T02:08:07Z,0.45,19930
trumpd,2020-11-04T02:08:07Z,0.517,19930
bidenj,2020-11-04T02:10:32Z,0.428,24684
trumpd,2020-11-04T02:10:32Z,0.537,24684
bidenj,2020-11-04T02:10:58Z,0.426,25346
trumpd,2020-11-04T02:10:58Z,0.539,25346
bidenj,2020-11-04T02:11:25Z,0.422,27644
trumpd,2020-11-04T02:11:25Z,0.543,27644
bidenj,2020-11-04T02:12:24Z,0.422,28682
trumpd,2020-11-04T02:12:24Z,0.543,28682
bidenj,2020-11-04T02:12:59Z,0.421,30930
trumpd,2020-11-04T02:12:59Z,0.544,30930
bidenj,2020-11-04T02:14:38Z,0.425,32149
trumpd,2020-11-04T02:14:38Z,0.54,32149
bidenj,2020-11-04T02:17:17Z,0.422,33802
trumpd,2020-11-04T02:17:17Z,0.543,33802
bidenj,2020-11-04T02:19:09Z,0.418,35276
trumpd,2020-11-04T02:19:09Z,0.546,35276
bidenj,2020-11-04T02:20:35Z,0.417,35919
trumpd,2020-11-04T02:20:35Z,0.547,35919
bidenj,2020-11-04T02:22:11Z,0.413,38244
trumpd,2020-11-04T02:22:11Z,0.552,38244
bidenj,2020-11-04T02:23:41Z,0.409,39895
trumpd,2020-11-04T02:23:41Z,0.555,39895
bidenj,2020-11-04T02:28:32Z,0.408,41684
trumpd,2020-11-04T02:28:32Z,0.556,41684
bidenj,2020-11-04T02:29:31Z,0.415,42742
trumpd,2020-11-04T02:29:31Z,0.55,42742
bidenj,2020-11-04T02:30:12Z,0.411,43495
trumpd,2020-11-04T02:30:12Z,0.554,43495
bidenj,2020-11-04T02:31:17Z,0.409,44154
trumpd,2020-11-04T02:31:17Z,0.555,44154
bidenj,2020-11-04T02:33:22Z,0.423,48097
trumpd,2020-11-04T02:33:22Z,0.542,48097
bidenj,2020-11-04T02:35:02Z,0.422,48254
trumpd,2020-11-04T02:35:02Z,0.543,48254
bidenj,2020-11-04T02:35:34Z,0.42,49206
trumpd,2020-11-04T02:35:34Z,0.545,49206
bidenj,2020-11-04T02:44:51Z,0.421,52814
trumpd,2020-11-04T02:44:51Z,0.544,52814
bidenj,2020-11-04T02:47:11Z,0.459,61904
trumpd,2020-11-04T02:47:11Z,0.508,61904
bidenj,2020-11-04T02:47:45Z,0.456,63206
trumpd,2020-11-04T02:47:45Z,0.51,63206
bidenj,2020-11-04T02:48:06Z,0.462,68326
trumpd,2020-11-04T02:48:06Z,0.503,68326
bidenj,2020-11-04T02:48:42Z,0.461,69106
trumpd,2020-11-04T02:48:42Z,0.504,69106
bidenj,2020-11-04T02:49:05Z,0.479,75108
trumpd,2020-11-04T02:49:05Z,0.488,75108
bidenj,2020-11-04T02:51:20Z,0.478,75710
trumpd,2020-11-04T02:51:20Z,0.488,75710
bidenj,2020-11-04T02:53:05Z,0.479,77772
trumpd,2020-11-04T02:53:05Z,0.487,77772
bidenj,2020-11-04T02:54:15Z,0.476,79661
trumpd,2020-11-04T02:54:15Z,0.49,79661
bidenj,2020-11-04T02:55:25Z,0.491,84905
trumpd,2020-11-04T02:55:25Z,0.473,84905
bidenj,2020-11-04T02:57:15Z,0.488,86128
trumpd,2020-11-04T02:57:15Z,0.476,86128
bidenj,2020-11-04T02:58:42Z,0.488,86133
trumpd,2020-11-04T02:58:42Z,0.476,86133
bidenj,2020-11-04T03:03:53Z,0.484,92573
trumpd,2020-11-04T03:03:53Z,0.48,92573
bidenj,2020-11-04T03:04:35Z,0.483,94285
trumpd,2020-11-04T03:04:35Z,0.482,94285
bidenj,2020-11-04T03:04:55Z,0.482,96845
trumpd,2020-11-04T03:04:55Z,0.483,96845
bidenj,2020-11-04T03:07:32Z,0.483,98957
trumpd,2020-11-04T03:07:32Z,0.482,98957
bidenj,2020-11-04T03:09:04Z,0.484,99520
trumpd,2020-11-04T03:09:04Z,0.481,99520
bidenj,2020-11-04T03:10:22Z,0.483,100254
trumpd,2020-11-04T03:10:22Z,0.482,100254
bidenj,2020-11-04T03:12:15Z,0.484,101542
trumpd,2020-11-04T03:12:15Z,0.481,101542
bidenj,2020-11-04T03:12:58Z,0.483,103391
trumpd,2020-11-04T03:12:58Z,0.482,103391
bidenj,2020-11-04T03:13:36Z,0.483,103984
trumpd,2020-11-04T03:13:36Z,0.483,103984
bidenj,2020-11-04T03:19:52Z,0.482,106290
trumpd,2020-11-04T03:19:52Z,0.483,106290
bidenj,2020-11-04T03:20:19Z,0.48,109030
trumpd,2020-11-04T03:20:19Z,0.486,109030
bidenj,2020-11-04T03:21:42Z,0.479,110795
trumpd,2020-11-04T03:21:42Z,0.487,110795
bidenj,2020-11-04T03:22:33Z,0.479,111328
trumpd,2020-11-04T03:22:33Z,0.487,111328
bidenj,2020-11-04T03:22:51Z,0.478,112070
trumpd,2020-11-04T03:22:51Z,0.488,112070
bidenj,2020-11-04T03:23:34Z,0.477,112623
trumpd,2020-11-04T03:23:34Z,0.489,112623
bidenj,2020-11-04T03:25:50Z,0.474,116141
trumpd,2020-11-04T03:25:50Z,0.492,116141
bidenj,2020-11-04T03:26:08Z,0.472,118405
trumpd,2020-11-04T03:26:08Z,0.495,118405
bidenj,2020-11-04T03:26:16Z,0.476,120720
trumpd,2020-11-04T03:26:16Z,0.491,120720
bidenj,2020-11-04T03:27:14Z,0.479,123029
trumpd,2020-11-04T03:27:14Z,0.488,123029
bidenj,2020-11-04T03:27:23Z,0.479,124138
trumpd,2020-11-04T03:27:23Z,0.488,124138
bidenj,2020-11-04T03:27:37Z,0.477,128902
trumpd,2020-11-04T03:27:37Z,0.489,128902
bidenj,2020-11-04T03:27:57Z,0.476,133086
trumpd,2020-11-04T03:27:57Z,0.491,133086
bidenj,2020-11-04T03:28:11Z,0.475,133829
trumpd,2020-11-04T03:28:11Z,0.492,133829
bidenj,2020-11-04T03:28:30Z,0.475,133832
trumpd,2020-11-04T03:28:30Z,0.492,133832
bidenj,2020-11-04T03:28:54Z,0.473,136794
trumpd,2020-11-04T03:28:54Z,0.494,136794
bidenj,2020-11-04T03:30:15Z,0.473,144838
trumpd,2020-11-04T03:30:15Z,0.493,144838
bidenj,2020-11-04T03:33:41Z,0.474,145721
trumpd,2020-11-04T03:33:41Z,0.493,145721
bidenj,2020-11-04T03:39:08Z,0.474,146367
trumpd,2020-11-04T03:39:08Z,0.492,146367
bidenj,2020-11-04T03:39:18Z,0.474,146408
trumpd,2020-11-04T03:39:18Z,0.492,146408
bidenj,2020-11-04T03:43:47Z,0.476,147803
trumpd,2020-11-04T03:43:47Z,0.492,147803
bidenj,2020-11-04T03:44:02Z,0.475,150183
trumpd,2020-11-04T03:44:02Z,0.492,150183
bidenj,2020-11-04T03:47:11Z,0.475,155573
trumpd,2020-11-04T03:47:11Z,0.492,155573
bidenj,2020-11-04T03:47:56Z,0.475,157133
trumpd,2020-11-04T03:47:56Z,0.492,157133
bidenj,2020-11-04T03:48:36Z,0.475,158026
trumpd,2020-11-04T03:48:36Z,0.492,158026
bidenj,2020-11-04T03:50:03Z,0.482,165927
trumpd,2020-11-04T03:50:03Z,0.484,165927
bidenj,2020-11-04T03:54:10Z,0.482,169038
trumpd,2020-11-04T03:54:10Z,0.485,169038
bidenj,2020-11-04T03:55:42Z,0.481,175240
trumpd,2020-11-04T03:55:42Z,0.485,175240
bidenj,2020-11-04T03:55:59Z,0.48,178637
trumpd,2020-11-04T03:55:59Z,0.486,178637
bidenj,2020-11-04T03:56:12Z,0.479,179792
trumpd,2020-11-04T03:56:12Z,0.487,179792
bidenj,2020-11-04T03:56:27Z,0.481,182470
trumpd,2020-11-04T03:56:27Z,0.485,182470
bidenj,2020-11-04T03:56:37Z,0.481,184647
trumpd,2020-11-04T03:56:37Z,0.485,184647
bidenj,2020-11-04T03:57:17Z,0.481,184818
trumpd,2020-11-04T03:57:17Z,0.485,184818
bidenj,2020-11-04T03:57:26Z,0.48,185525
trumpd,2020-11-04T03:57:26Z,0.486,185525
bidenj,2020-11-04T03:58:34Z,0.48,190592
trumpd,2020-11-04T03:58:34Z,0.487,190592
bidenj,2020-11-04T03:58:57Z,0.478,193699
trumpd,2020-11-04T03:58:57Z,0.488,193699
bidenj,2020-11-04T03:59:05Z,0.479,194200
trumpd,2020-11-04T03:59:05Z,0.488,194200
bidenj,2020-11-04T03:59:15Z,0.479,196995
trumpd,2020-11-04T03:59:15Z,0.488,196995
bidenj,2020-11-04T03:59:45Z,0.477,200461
trumpd,2020-11-04T03:59:45Z,0.49,200461
bidenj,2020-11-04T04:01:58Z,0.476,200911
trumpd,2020-11-04T04:01:58Z,0.49,200911
bidenj,2020-11-04T04:02:34Z,0.476,203473
trumpd,2020-11-04T04:02:34Z,0.491,203473
bidenj,2020-11-04T04:02:58Z,0.485,210482
trumpd,2020-11-04T04:02:58Z,0.482,210482
bidenj,2020-11-04T04:03:09Z,0.486,211333
trumpd,2020-11-04T04:03:09Z,0.481,211333
bidenj,2020-11-04T04:04:14Z,0.485,213184
trumpd,2020-11-04T04:04:14Z,0.481,213184
bidenj,2020-11-04T04:04:31Z,0.485,213308
trumpd,2020-11-04T04:04:31Z,0.481,213308
bidenj,2020-11-04T04:06:22Z,0.49,216884
trumpd,2020-11-04T04:06:22Z,0.477,216884
bidenj,2020-11-04T04:10:00Z,0.5,227143
trumpd,2020-11-04T04:10:00Z,0.467,227143
bidenj,2020-11-04T04:14:13Z,0.499,227577
trumpd,2020-11-04T04:14:13Z,0.468,227577
bidenj,2020-11-04T04:16:42Z,0.506,247358
trumpd,2020-11-04T04:16:42Z,0.461,247358
bidenj,2020-11-04T04:17:15Z,0.505,248456
trumpd,2020-11-04T04:17:15Z,0.462,248456
bidenj,2020-11-04T04:17:32Z,0.509,260324
trumpd,2020-11-04T04:17:32Z,0.458,260324
bidenj,2020-11-04T04:18:01Z,0.509,261287
trumpd,2020-11-04T04:18:01Z,0.459,261287
bidenj,2020-11-04T04:18:27Z,0.507,263742
trumpd,2020-11-04T04:18:27Z,0.461,263742
bidenj,2020-11-04T04:18:33Z,0.506,265520
trumpd,2020-11-04T04:18:33Z,0.462,265520
bidenj,2020-11-04T04:18:41Z,0.506,265522
trumpd,2020-11-04T04:18:41Z,0.462,265522
bidenj,2020-11-04T04:18:53Z,0.506,265682
trumpd,2020-11-04T04:18:53Z,0.462,265682
bidenj,2020-11-04T04:20:02Z,0.509,270418
trumpd,2020-11-04T04:20:02Z,0.459,270418
bidenj,2020-11-04T04:21:06Z,0.51,272215
trumpd,2020-11-04T04:21:06Z,0.457,272215
bidenj,2020-11-04T04:22:53Z,0.514,281848
trumpd,2020-11-04T04:22:53Z,0.454,281848
bidenj,2020-11-04T04:23:18Z,0.514,282450
trumpd,2020-11-04T04:23:18Z,0.454,282450
bidenj,2020-11-04T04:24:37Z,0.517,298982
trumpd,2020-11-04T04:24:37Z,0.451,298982
bidenj,2020-11-04T04:25:33Z,0.517,300047
trumpd,2020-11-04T04:25:33Z,0.451,300047
bidenj,2020-11-04T04:26:21Z,0.517,300671
trumpd,2020-11-04T04:26:21Z,0.451,300671
bidenj,2020-11-04T04:27:10Z,0.517,301351
trumpd,2020-11-04T04:27:10Z,0.451,301351
