CANDIDATE,Timestamp,VOTE_SHARES,VOTES
collinss,2020-11-04T09:59:44Z,0,0
gideons,2020-11-04T09:59:44Z,0,0
collinss,2020-11-04T01:37:23Z,0.44,4632
gideons,2020-11-04T01:37:23Z,0.503,4632
collinss,2020-11-04T01:40:46Z,0.483,5508
gideons,2020-11-04T01:40:46Z,0.461,5508
collinss,2020-11-04T01:43:40Z,0.513,7726
gideons,2020-11-04T01:43:40Z,0.43,7726
collinss,2020-11-04T01:43:54Z,0.54,9777
gideons,2020-11-04T01:43:54Z,0.401,9777
collinss,2020-11-04T01:51:21Z,0.543,11746
gideons,2020-11-04T01:51:21Z,0.397,11746
collinss,2020-11-04T01:52:52Z,0.551,12231
gideons,2020-11-04T01:52:52Z,0.39,12231
collinss,2020-11-04T02:01:52Z,0.561,13001
gideons,2020-11-04T02:01:52Z,0.381,13001
collinss,2020-11-04T02:03:31Z,0.56,14677
gideons,2020-11-04T02:03:31Z,0.375,14677
collinss,2020-11-04T02:04:08Z,0.566,17002
gideons,2020-11-04T02:04:08Z,0.37,17002
collinss,2020-11-04T02:10:59Z,0.567,19554
gideons,2020-11-04T02:10:59Z,0.368,19554
collinss,2020-11-04T02:11:40Z,0.582,21756
gideons,2020-11-04T02:11:40Z,0.352,21756
collinss,2020-11-04T02:11:57Z,0.586,22420
gideons,2020-11-04T02:11:57Z,0.349,22420
collinss,2020-11-04T02:15:12Z,0.583,23636
gideons,2020-11-04T02:15:12Z,0.352,23636
collinss,2020-11-04T02:16:14Z,0.584,24670
gideons,2020-11-04T02:16:14Z,0.352,24670
collinss,2020-11-04T02:18:07Z,0.587,26322
gideons,2020-11-04T02:18:07Z,0.35,26322
collinss,2020-11-04T02:19:44Z,0.592,27799
gideons,2020-11-04T02:19:44Z,0.345,27799
collinss,2020-11-04T02:20:46Z,0.593,28432
gideons,2020-11-04T02:20:46Z,0.344,28432
collinss,2020-11-04T02:22:48Z,0.593,29826
gideons,2020-11-04T02:22:48Z,0.343,29826
collinss,2020-11-04T02:24:09Z,0.599,32162
gideons,2020-11-04T02:24:09Z,0.338,32162
collinss,2020-11-04T02:24:41Z,0.6,34400
gideons,2020-11-04T02:24:41Z,0.336,34400
