CANDIDATE,Timestamp,VOTE_SHARES,VOTES
hoyers,2020-11-04T09:00:43Z,0,0
palombic,2020-11-04T09:00:43Z,0,0
hoyers,2020-11-04T03:15:43Z,0.399,43835
palombic,2020-11-04T03:15:43Z,0.601,43835
hoyers,2020-11-04T04:16:26Z,0.761,172869
palombic,2020-11-04T04:16:26Z,0.239,172869
hoyers,2020-11-04T04:32:19Z,0.727,197105
palombic,2020-11-04T04:32:19Z,0.273,197105
hoyers,2020-11-04T04:39:53Z,0.716,208022
palombic,2020-11-04T04:39:53Z,0.284,208022
hoyers,2020-11-04T05:18:58Z,0.716,208029
palombic,2020-11-04T05:18:58Z,0.284,208029
hoyers,2020-11-04T05:45:17Z,0.688,281974
palombic,2020-11-04T05:45:17Z,0.312,281974
hoyers,2020-11-04T06:02:11Z,0.671,295022
palombic,2020-11-04T06:02:11Z,0.329,295022
hoyers,2020-11-04T06:44:48Z,0.672,295119
palombic,2020-11-04T06:44:48Z,0.328,295119
hoyers,2020-11-04T16:15:49Z,0.672,295123
palombic,2020-11-04T16:15:49Z,0.328,295123
hoyers,2020-11-04T18:39:50Z,0.671,295221
palombic,2020-11-04T18:39:50Z,0.329,295221
hoyers,2020-11-04T21:22:55Z,0.672,300531
palombic,2020-11-04T21:22:55Z,0.328,300531
hoyers,2020-11-04T22:30:48Z,0.672,302094
palombic,2020-11-04T22:30:48Z,0.328,302094
hoyers,2020-11-04T22:49:47Z,0.672,303063
palombic,2020-11-04T22:49:47Z,0.328,303063
hoyers,2020-11-04T22:53:48Z,0.667,307240
palombic,2020-11-04T22:53:48Z,0.333,307240
hoyers,2020-11-05T02:41:41Z,0.667,308732
palombic,2020-11-05T02:41:41Z,0.333,308732
hoyers,2020-11-05T21:30:40Z,0.666,312930
palombic,2020-11-05T21:30:40Z,0.334,312930
hoyers,2020-11-05T22:58:40Z,0.666,313060
palombic,2020-11-05T22:58:40Z,0.334,313060
hoyers,2020-11-06T01:20:39Z,0.669,317742
palombic,2020-11-06T01:20:39Z,0.331,317742
hoyers,2020-11-06T21:53:39Z,0.665,327357
palombic,2020-11-06T21:53:39Z,0.335,327357
hoyers,2020-11-06T22:28:41Z,0.664,331791
palombic,2020-11-06T22:28:41Z,0.336,331791
hoyers,2020-11-07T02:57:40Z,0.671,343767
palombic,2020-11-07T02:57:40Z,0.329,343767
hoyers,2020-11-08T00:43:57Z,0.671,344697
palombic,2020-11-08T00:43:57Z,0.329,344697
hoyers,2020-11-09T21:07:46Z,0.671,345245
palombic,2020-11-09T21:07:46Z,0.329,345245
hoyers,2020-11-10T00:00:43Z,0.671,345340
palombic,2020-11-10T00:00:43Z,0.329,345340
hoyers,2020-11-10T00:26:40Z,0.67,346858
palombic,2020-11-10T00:26:40Z,0.33,346858
hoyers,2020-11-10T01:24:43Z,0.675,353985
palombic,2020-11-10T01:24:43Z,0.325,353985
hoyers,2020-11-10T22:54:52Z,0.677,358319
palombic,2020-11-10T22:54:52Z,0.323,358319
hoyers,2020-11-11T00:47:48Z,0.684,375196
palombic,2020-11-11T00:47:48Z,0.316,375196
hoyers,2020-11-11T22:55:48Z,0.684,378366
palombic,2020-11-11T22:55:48Z,0.316,378366
hoyers,2020-11-12T16:37:50Z,0.684,378515
palombic,2020-11-12T16:37:50Z,0.316,378515
hoyers,2020-11-12T19:16:45Z,0.683,379563
palombic,2020-11-12T19:16:45Z,0.317,379563
hoyers,2020-11-12T22:28:47Z,0.684,380150
palombic,2020-11-12T22:28:47Z,0.316,380150
hoyers,2020-11-13T00:51:45Z,0.683,381041
palombic,2020-11-13T00:51:45Z,0.317,381041
hoyers,2020-11-13T03:50:00Z,0.685,385414
palombic,2020-11-13T03:50:00Z,0.315,385414
hoyers,2020-11-13T20:24:50Z,0.685,385518
palombic,2020-11-13T20:24:50Z,0.315,385518
hoyers,2020-11-13T21:01:53Z,0.685,385775
palombic,2020-11-13T21:01:53Z,0.315,385775
hoyers,2020-11-13T21:29:46Z,0.686,389825
palombic,2020-11-13T21:29:46Z,0.314,389825
hoyers,2020-11-13T22:00:45Z,0.686,389844
palombic,2020-11-13T22:00:45Z,0.314,389844
hoyers,2020-11-13T22:38:45Z,0.686,389958
palombic,2020-11-13T22:38:45Z,0.314,389958
hoyers,2020-11-14T03:20:46Z,0.686,389973
palombic,2020-11-14T03:20:46Z,0.314,389973
hoyers,2020-11-15T06:38:00Z,0.687,392909
palombic,2020-11-15T06:38:00Z,0.313,392909
hoyers,2020-11-16T23:31:58Z,0.688,394412
palombic,2020-11-16T23:31:58Z,0.312,394412
hoyers,2020-11-19T18:29:55.170Z,0.688,394412
palombic,2020-11-19T18:29:55.170Z,0.312,394412
hoyers,2020-11-20T02:31:09Z,0.689,396551
palombic,2020-11-20T02:31:09Z,0.311,396551
hoyers,2020-11-21T03:01:16Z,0.689,397735
palombic,2020-11-21T03:01:16Z,0.311,397735
hoyers,2020-12-09T15:01:09Z,0.689,397735
palombic,2020-12-09T15:01:09Z,0.311,397735
hoyers,2020-12-07T15:44:02.203Z,0.689,397735
palombic,2020-12-07T15:44:02.203Z,0.311,397735
