CANDIDATE,Timestamp,VOTE_SHARES,VOTES
moultons,2020-11-04T09:53:04Z,0,0
paul_moranj,2020-11-04T09:53:04Z,0,0
write-ins,2020-11-04T09:53:04Z,0,0
moultons,2020-11-04T01:58:09Z,0.413,7593
paul_moranj,2020-11-04T01:58:09Z,0.585,7593
write-ins,2020-11-04T01:58:09Z,0.002,7593
moultons,2020-11-04T02:05:47Z,0.572,17552
paul_moranj,2020-11-04T02:05:47Z,0.427,17552
write-ins,2020-11-04T02:05:47Z,0.001,17552
moultons,2020-11-04T02:41:34Z,0.584,21514
paul_moranj,2020-11-04T02:41:34Z,0.414,21514
write-ins,2020-11-04T02:41:34Z,0.001,21514
moultons,2020-11-04T02:42:54Z,0.583,35813
paul_moranj,2020-11-04T02:42:54Z,0.416,35813
write-ins,2020-11-04T02:42:54Z,0.001,35813
moultons,2020-11-04T02:45:09Z,0.609,51621
paul_moranj,2020-11-04T02:45:09Z,0.39,51621
write-ins,2020-11-04T02:45:09Z,0.001,51621
moultons,2020-11-04T03:04:02Z,0.616,56424
paul_moranj,2020-11-04T03:04:02Z,0.383,56424
write-ins,2020-11-04T03:04:02Z,0.001,56424
moultons,2020-11-04T03:06:58Z,0.664,89994
paul_moranj,2020-11-04T03:06:58Z,0.334,89994
write-ins,2020-11-04T03:06:58Z,0.002,89994
moultons,2020-11-04T03:09:37Z,0.659,95393
paul_moranj,2020-11-04T03:09:37Z,0.339,95393
write-ins,2020-11-04T03:09:37Z,0.002,95393
moultons,2020-11-04T03:30:15Z,0.671,118948
paul_moranj,2020-11-04T03:30:15Z,0.327,118948
write-ins,2020-11-04T03:30:15Z,0.002,118948
moultons,2020-11-04T03:32:12Z,0.671,121393
paul_moranj,2020-11-04T03:32:12Z,0.327,121393
write-ins,2020-11-04T03:32:12Z,0.002,121393
moultons,2020-11-04T03:43:08Z,0.672,125887
paul_moranj,2020-11-04T03:43:08Z,0.326,125887
write-ins,2020-11-04T03:43:08Z,0.002,125887
moultons,2020-11-04T03:43:31Z,0.661,140417
paul_moranj,2020-11-04T03:43:31Z,0.337,140417
write-ins,2020-11-04T03:43:31Z,0.002,140417
moultons,2020-11-04T03:44:44Z,0.661,145340
paul_moranj,2020-11-04T03:44:44Z,0.338,145340
write-ins,2020-11-04T03:44:44Z,0.002,145340
moultons,2020-11-04T03:48:36Z,0.667,162242
paul_moranj,2020-11-04T03:48:36Z,0.332,162242
write-ins,2020-11-04T03:48:36Z,0.002,162242
moultons,2020-11-04T04:22:11Z,0.666,165407
paul_moranj,2020-11-04T04:22:11Z,0.332,165407
write-ins,2020-11-04T04:22:11Z,0.002,165407
moultons,2020-11-04T04:30:26Z,0.666,166654
paul_moranj,2020-11-04T04:30:26Z,0.332,166654
write-ins,2020-11-04T04:30:26Z,0.002,166654
moultons,2020-11-04T04:33:20Z,0.649,176150
paul_moranj,2020-11-04T04:33:20Z,0.349,176150
write-ins,2020-11-04T04:33:20Z,0.002,176150
moultons,2020-11-04T05:00:44Z,0.644,181802
paul_moranj,2020-11-04T05:00:44Z,0.354,181802
write-ins,2020-11-04T05:00:44Z,0.002,181802
moultons,2020-11-04T05:06:05Z,0.643,198190
paul_moranj,2020-11-04T05:06:05Z,0.356,198190
write-ins,2020-11-04T05:06:05Z,0.002,198190
moultons,2020-11-04T05:41:42Z,0.641,215799
paul_moranj,2020-11-04T05:41:42Z,0.357,215799
write-ins,2020-11-04T05:41:42Z,0.002,215799
moultons,2020-11-04T05:44:13Z,0.64,220205
paul_moranj,2020-11-04T05:44:13Z,0.359,220205
write-ins,2020-11-04T05:44:13Z,0.002,220205
moultons,2020-11-04T06:50:02Z,0.64,222631
paul_moranj,2020-11-04T06:50:02Z,0.358,222631
write-ins,2020-11-04T06:50:02Z,0.002,222631
moultons,2020-11-04T06:59:59Z,0.637,230692
paul_moranj,2020-11-04T06:59:59Z,0.361,230692
write-ins,2020-11-04T06:59:59Z,0.002,230692
moultons,2020-11-04T07:50:16Z,0.636,234796
paul_moranj,2020-11-04T07:50:16Z,0.362,234796
write-ins,2020-11-04T07:50:16Z,0.002,234796
moultons,2020-11-04T08:24:30Z,0.636,234847
paul_moranj,2020-11-04T08:24:30Z,0.362,234847
write-ins,2020-11-04T08:24:30Z,0.002,234847
moultons,2020-11-04T15:34:21Z,0.636,249614
paul_moranj,2020-11-04T15:34:21Z,0.363,249614
write-ins,2020-11-04T15:34:21Z,0.002,249614
moultons,2020-11-04T18:10:55Z,0.648,272809
paul_moranj,2020-11-04T18:10:55Z,0.35,272809
write-ins,2020-11-04T18:10:55Z,0.002,272809
moultons,2020-11-04T19:49:40Z,0.646,298122
paul_moranj,2020-11-04T19:49:40Z,0.353,298122
write-ins,2020-11-04T19:49:40Z,0.002,298122
moultons,2020-11-04T22:49:29Z,0.649,312128
paul_moranj,2020-11-04T22:49:29Z,0.349,312128
write-ins,2020-11-04T22:49:29Z,0.002,312128
moultons,2020-11-04T23:36:22Z,0.65,326015
paul_moranj,2020-11-04T23:36:22Z,0.349,326015
write-ins,2020-11-04T23:36:22Z,0.002,326015
moultons,2020-11-05T17:19:43Z,0.648,331413
paul_moranj,2020-11-05T17:19:43Z,0.35,331413
write-ins,2020-11-05T17:19:43Z,0.002,331413
moultons,2020-11-05T18:07:33Z,0.648,347306
paul_moranj,2020-11-05T18:07:33Z,0.35,347306
write-ins,2020-11-05T18:07:33Z,0.002,347306
moultons,2020-11-05T20:32:11Z,0.651,356659
paul_moranj,2020-11-05T20:32:11Z,0.348,356659
write-ins,2020-11-05T20:32:11Z,0.002,356659
moultons,2020-11-05T20:35:35Z,0.651,359252
paul_moranj,2020-11-05T20:35:35Z,0.347,359252
write-ins,2020-11-05T20:35:35Z,0.002,359252
moultons,2020-11-05T20:37:26Z,0.65,368683
paul_moranj,2020-11-05T20:37:26Z,0.349,368683
write-ins,2020-11-05T20:37:26Z,0.002,368683
moultons,2020-11-05T20:43:52Z,0.65,378091
paul_moranj,2020-11-05T20:43:52Z,0.348,378091
write-ins,2020-11-05T20:43:52Z,0.002,378091
moultons,2020-11-05T20:47:12Z,0.649,382204
paul_moranj,2020-11-05T20:47:12Z,0.349,382204
write-ins,2020-11-05T20:47:12Z,0.002,382204
moultons,2020-11-05T21:31:48Z,0.651,390496
