CANDIDATE,Timestamp,VOTE_SHARES,VOTES
bidenj,2020-11-04T10:00:04Z,0,0
trumpd,2020-11-04T10:00:04Z,0,0
bidenj,2020-11-04T01:14:54Z,0.615,615
trumpd,2020-11-04T01:14:54Z,0.345,615
bidenj,2020-11-04T01:22:54Z,0.595,3110
trumpd,2020-11-04T01:22:54Z,0.376,3110
bidenj,2020-11-04T01:25:26Z,0.605,3301
trumpd,2020-11-04T01:25:26Z,0.365,3301
bidenj,2020-11-04T01:29:06Z,0.693,9194
trumpd,2020-11-04T01:29:06Z,0.28,9194
bidenj,2020-11-04T01:32:01Z,0.674,16873
trumpd,2020-11-04T01:32:01Z,0.301,16873
bidenj,2020-11-04T01:47:25Z,0.687,29334
trumpd,2020-11-04T01:47:25Z,0.289,29334
bidenj,2020-11-04T01:48:09Z,0.687,31617
trumpd,2020-11-04T01:48:09Z,0.29,31617
bidenj,2020-11-04T01:54:08Z,0.668,35864
trumpd,2020-11-04T01:54:08Z,0.309,35864
bidenj,2020-11-04T01:54:18Z,0.638,41341
trumpd,2020-11-04T01:54:18Z,0.339,41341
bidenj,2020-11-04T01:54:47Z,0.641,48533
trumpd,2020-11-04T01:54:47Z,0.336,48533
bidenj,2020-11-04T01:55:37Z,0.649,62238
trumpd,2020-11-04T01:55:37Z,0.327,62238
bidenj,2020-11-04T01:56:40Z,0.619,70085
trumpd,2020-11-04T01:56:40Z,0.357,70085
bidenj,2020-11-04T01:56:57Z,0.616,73024
trumpd,2020-11-04T01:56:57Z,0.36,73024
bidenj,2020-11-04T01:57:15Z,0.617,79829
trumpd,2020-11-04T01:57:15Z,0.36,79829
bidenj,2020-11-04T01:58:00Z,0.611,82302
trumpd,2020-11-04T01:58:00Z,0.365,82302
bidenj,2020-11-04T01:58:24Z,0.616,85186
trumpd,2020-11-04T01:58:24Z,0.359,85186
bidenj,2020-11-04T02:02:28Z,0.608,94631
trumpd,2020-11-04T02:02:28Z,0.368,94631
bidenj,2020-11-04T02:03:36Z,0.645,116177
trumpd,2020-11-04T02:03:36Z,0.332,116177
bidenj,2020-11-04T02:04:25Z,0.636,119506
trumpd,2020-11-04T02:04:25Z,0.341,119506
bidenj,2020-11-04T02:05:02Z,0.644,126343
trumpd,2020-11-04T02:05:02Z,0.334,126343
bidenj,2020-11-04T02:10:27Z,0.646,128657
trumpd,2020-11-04T02:10:27Z,0.331,128657
bidenj,2020-11-04T02:16:37Z,0.652,132788
trumpd,2020-11-04T02:16:37Z,0.326,132788
bidenj,2020-11-04T02:20:46Z,0.652,142988
trumpd,2020-11-04T02:20:46Z,0.325,142988
bidenj,2020-11-04T02:20:54Z,0.655,152466
trumpd,2020-11-04T02:20:54Z,0.322,152466
bidenj,2020-11-04T02:21:59Z,0.701,192848
trumpd,2020-11-04T02:21:59Z,0.276,192848
bidenj,2020-11-04T02:25:00Z,0.7,202243
trumpd,2020-11-04T02:25:00Z,0.277,202243
bidenj,2020-11-04T02:25:24Z,0.699,202720
trumpd,2020-11-04T02:25:24Z,0.278,202720
bidenj,2020-11-04T02:27:12Z,0.702,220094
trumpd,2020-11-04T02:27:12Z,0.276,220094
bidenj,2020-11-04T02:28:10Z,0.705,232098
trumpd,2020-11-04T02:28:10Z,0.273,232098
bidenj,2020-11-04T02:28:34Z,0.704,240695
trumpd,2020-11-04T02:28:34Z,0.273,240695
bidenj,2020-11-04T02:28:45Z,0.713,243109
trumpd,2020-11-04T02:28:45Z,0.265,243109
bidenj,2020-11-04T02:30:54Z,0.705,250322
trumpd,2020-11-04T02:30:54Z,0.272,250322
bidenj,2020-11-04T02:32:08Z,0.717,276004
trumpd,2020-11-04T02:32:08Z,0.261,276004
bidenj,2020-11-04T02:32:28Z,0.718,286503
trumpd,2020-11-04T02:32:28Z,0.26,286503
bidenj,2020-11-04T02:33:00Z,0.701,320522
trumpd,2020-11-04T02:33:00Z,0.277,320522
bidenj,2020-11-04T02:33:53Z,0.695,333698
trumpd,2020-11-04T02:33:53Z,0.283,333698
bidenj,2020-11-04T02:35:48Z,0.693,350753
trumpd,2020-11-04T02:35:48Z,0.285,350753
bidenj,2020-11-04T02:37:42Z,0.69,357979
trumpd,2020-11-04T02:37:42Z,0.288,357979
bidenj,2020-11-04T02:37:44Z,0.688,366384
trumpd,2020-11-04T02:37:44Z,0.29,366384
bidenj,2020-11-04T02:38:35Z,0.687,367296
trumpd,2020-11-04T02:38:35Z,0.29,367296
bidenj,2020-11-04T02:38:44Z,0.681,380640
trumpd,2020-11-04T02:38:44Z,0.297,380640
bidenj,2020-11-04T02:40:23Z,0.68,384661
trumpd,2020-11-04T02:40:23Z,0.298,384661
bidenj,2020-11-04T02:43:39Z,0.679,389275
trumpd,2020-11-04T02:43:39Z,0.299,389275
bidenj,2020-11-04T02:44:11Z,0.678,405713
trumpd,2020-11-04T02:44:11Z,0.299,405713
bidenj,2020-11-04T02:44:22Z,0.675,411940
trumpd,2020-11-04T02:44:22Z,0.302,411940
bidenj,2020-11-04T02:46:12Z,0.676,423016
trumpd,2020-11-04T02:46:12Z,0.301,423016
bidenj,2020-11-04T02:51:00Z,0.676,438350
trumpd,2020-11-04T02:51:00Z,0.302,438350
bidenj,2020-11-04T03:05:57Z,0.677,473326
trumpd,2020-11-04T03:05:57Z,0.301,473326
bidenj,2020-11-04T03:08:23Z,0.677,478204
trumpd,2020-11-04T03:08:23Z,0.301,478204
bidenj,2020-11-04T03:08:38Z,0.666,534315
trumpd,2020-11-04T03:08:38Z,0.312,534315
bidenj,2020-11-04T03:08:53Z,0.661,559337
trumpd,2020-11-04T03:08:53Z,0.316,559337
bidenj,2020-11-04T03:09:14Z,0.659,576085
trumpd,2020-11-04T03:09:14Z,0.318,576085
bidenj,2020-11-04T03:09:34Z,0.662,591024
trumpd,2020-11-04T03:09:34Z,0.315,591024
bidenj,2020-11-04T03:10:11Z,0.659,617393
trumpd,2020-11-04T03:10:11Z,0.319,617393
bidenj,2020-11-04T03:10:50Z,0.661,644600
trumpd,2020-11-04T03:10:50Z,0.317,644600
bidenj,2020-11-04T03:10:55Z,0.661,651852
trumpd,2020-11-04T03:10:55Z,0.317,651852
bidenj,2020-11-04T03:12:00Z,0.661,656044
trumpd,2020-11-04T03:12:00Z,0.317,656044
bidenj,2020-11-04T03:13:24Z,0.661,656285
trumpd,2020-11-04T03:13:24Z,0.317,656285
bidenj,2020-11-04T03:13:56Z,0.662,680352
trumpd,2020-11-04T03:13:56Z,0.316,680352
bidenj,2020-11-04T03:17:45Z,0.663,708490
trumpd,2020-11-04T03:17:45Z,0.314,708490
bidenj,2020-11-04T03:20:28Z,0.663,708815
trumpd,2020-11-04T03:20:28Z,0.314,708815
bidenj,2020-11-04T03:20:36Z,0.662,714225
trumpd,2020-11-04T03:20:36Z,0.315,714225
bidenj,2020-11-04T03:23:29Z,0.67,742263
trumpd,2020-11-04T03:23:29Z,0.307,742263
bidenj,2020-11-04T03:23:51Z,0.668,752337
trumpd,2020-11-04T03:23:51Z,0.309,752337
bidenj,2020-11-04T03:24:07Z,0.664,768406
trumpd,2020-11-04T03:24:07Z,0.313,768406
bidenj,2020-11-04T03:25:14Z,0.662,783514
trumpd,2020-11-04T03:25:14Z,0.316,783514
bidenj,2020-11-04T03:25:42Z,0.661,788183
trumpd,2020-11-04T03:25:42Z,0.317,788183
bidenj,2020-11-04T03:25:53Z,0.66,792088
trumpd,2020-11-04T03:25:53Z,0.318,792088
bidenj,2020-11-04T03:31:39Z,0.66,792187
