CANDIDATE,Timestamp,VOTE_SHARES,VOTES
kirbya,2020-11-04T09:45:24Z,0,0
langworthyc,2020-11-04T09:45:24Z,0,0
levina,2020-11-04T09:45:24Z,0,0
salibam,2020-11-04T09:45:24Z,0,0
kirbya,2020-11-04T01:50:56Z,0.015,68240
langworthyc,2020-11-04T01:50:56Z,0.306,68240
levina,2020-11-04T01:50:56Z,0.664,68240
salibam,2020-11-04T01:50:56Z,0.015,68240
kirbya,2020-11-04T02:04:50Z,0.015,69371
langworthyc,2020-11-04T02:04:50Z,0.309,69371
levina,2020-11-04T02:04:50Z,0.661,69371
salibam,2020-11-04T02:04:50Z,0.015,69371
kirbya,2020-11-04T02:05:09Z,0.025,157271
langworthyc,2020-11-04T02:05:09Z,0.445,157271
levina,2020-11-04T02:05:09Z,0.509,157271
salibam,2020-11-04T02:05:09Z,0.021,157271
kirbya,2020-11-04T02:10:51Z,0.025,159475
langworthyc,2020-11-04T02:10:51Z,0.445,159475
levina,2020-11-04T02:10:51Z,0.509,159475
salibam,2020-11-04T02:10:51Z,0.021,159475
kirbya,2020-11-04T02:22:04Z,0.025,166289
langworthyc,2020-11-04T02:22:04Z,0.447,166289
levina,2020-11-04T02:22:04Z,0.506,166289
salibam,2020-11-04T02:22:04Z,0.021,166289
kirbya,2020-11-04T02:30:53Z,0.025,170116
langworthyc,2020-11-04T02:30:53Z,0.448,170116
levina,2020-11-04T02:30:53Z,0.506,170116
salibam,2020-11-04T02:30:53Z,0.021,170116
kirbya,2020-11-04T02:53:06Z,0.025,175093
langworthyc,2020-11-04T02:53:06Z,0.447,175093
levina,2020-11-04T02:53:06Z,0.507,175093
salibam,2020-11-04T02:53:06Z,0.022,175093
kirbya,2020-11-04T03:13:53Z,0.025,176702
langworthyc,2020-11-04T03:13:53Z,0.445,176702
levina,2020-11-04T03:13:53Z,0.509,176702
salibam,2020-11-04T03:13:53Z,0.022,176702
kirbya,2020-11-04T03:24:22Z,0.026,198379
langworthyc,2020-11-04T03:24:22Z,0.446,198379
levina,2020-11-04T03:24:22Z,0.506,198379
salibam,2020-11-04T03:24:22Z,0.022,198379
kirbya,2020-11-04T03:25:01Z,0.026,199775
langworthyc,2020-11-04T03:25:01Z,0.445,199775
levina,2020-11-04T03:25:01Z,0.508,199775
salibam,2020-11-04T03:25:01Z,0.022,199775
kirbya,2020-11-04T03:29:51Z,0.026,201016
langworthyc,2020-11-04T03:29:51Z,0.443,201016
levina,2020-11-04T03:29:51Z,0.509,201016
salibam,2020-11-04T03:29:51Z,0.022,201016
kirbya,2020-11-04T03:32:00Z,0.025,206571
langworthyc,2020-11-04T03:32:00Z,0.439,206571
levina,2020-11-04T03:32:00Z,0.514,206571
salibam,2020-11-04T03:32:00Z,0.022,206571
kirbya,2020-11-04T04:17:58Z,0.025,207952
langworthyc,2020-11-04T04:17:58Z,0.44,207952
levina,2020-11-04T04:17:58Z,0.514,207952
salibam,2020-11-04T04:17:58Z,0.022,207952
kirbya,2020-11-04T05:03:32Z,0.025,213513
langworthyc,2020-11-04T05:03:32Z,0.439,213513
