CANDIDATE,Timestamp,VOTE_SHARES,VOTES
craiga,2020-11-04T09:52:04Z,0,0
kistnert,2020-11-04T09:52:04Z,0,0
weeksa,2020-11-04T09:52:04Z,0,0
craiga,2020-11-04T02:31:22Z,0.344,2656
kistnert,2020-11-04T02:31:22Z,0.598,2656
weeksa,2020-11-04T02:31:22Z,0.058,2656
craiga,2020-11-04T02:44:00Z,0.356,15253
kistnert,2020-11-04T02:44:00Z,0.59,15253
weeksa,2020-11-04T02:44:00Z,0.054,15253
craiga,2020-11-04T02:49:29Z,0.486,30000
kistnert,2020-11-04T02:49:29Z,0.462,30000
weeksa,2020-11-04T02:49:29Z,0.053,30000
craiga,2020-11-04T03:00:48Z,0.438,41527
kistnert,2020-11-04T03:00:48Z,0.505,41527
weeksa,2020-11-04T03:00:48Z,0.057,41527
craiga,2020-11-04T03:22:01Z,0.446,59668
kistnert,2020-11-04T03:22:01Z,0.499,59668
weeksa,2020-11-04T03:22:01Z,0.055,59668
craiga,2020-11-04T03:30:50Z,0.446,73650
kistnert,2020-11-04T03:30:50Z,0.494,73650
weeksa,2020-11-04T03:30:50Z,0.059,73650
craiga,2020-11-04T03:32:50Z,0.473,98312
kistnert,2020-11-04T03:32:50Z,0.47,98312
weeksa,2020-11-04T03:32:50Z,0.056,98312
craiga,2020-11-04T03:51:42Z,0.473,99854
kistnert,2020-11-04T03:51:42Z,0.47,99854
weeksa,2020-11-04T03:51:42Z,0.056,99854
craiga,2020-11-04T04:20:44Z,0.429,181034
kistnert,2020-11-04T04:20:44Z,0.507,181034
weeksa,2020-11-04T04:20:44Z,0.064,181034
craiga,2020-11-04T04:29:47Z,0.473,220953
kistnert,2020-11-04T04:29:47Z,0.468,220953
weeksa,2020-11-04T04:29:47Z,0.059,220953
craiga,2020-11-04T04:31:23Z,0.47,225336
kistnert,2020-11-04T04:31:23Z,0.472,225336
weeksa,2020-11-04T04:31:23Z,0.059,225336
craiga,2020-11-04T04:40:18Z,0.466,230856
kistnert,2020-11-04T04:40:18Z,0.474,230856
weeksa,2020-11-04T04:40:18Z,0.059,230856
craiga,2020-11-04T04:51:49Z,0.471,236525
kistnert,2020-11-04T04:51:49Z,0.471,236525
weeksa,2020-11-04T04:51:49Z,0.059,236525
craiga,2020-11-04T04:58:43Z,0.469,239370
kistnert,2020-11-04T04:58:43Z,0.473,239370
weeksa,2020-11-04T04:58:43Z,0.059,239370
craiga,2020-11-04T05:09:40Z,0.469,261147
kistnert,2020-11-04T05:09:40Z,0.471,261147
weeksa,2020-11-04T05:09:40Z,0.06,261147
craiga,2020-11-04T05:30:38Z,0.468,265295
kistnert,2020-11-04T05:30:38Z,0.472,265295
weeksa,2020-11-04T05:30:38Z,0.06,265295
craiga,2020-11-04T05:42:31Z,0.468,265693
kistnert,2020-11-04T05:42:31Z,0.472,265693
weeksa,2020-11-04T05:42:31Z,0.06,265693
craiga,2020-11-04T05:59:17Z,0.471,279980
kistnert,2020-11-04T05:59:17Z,0.468,279980
weeksa,2020-11-04T05:59:17Z,0.061,279980
craiga,2020-11-04T06:09:14Z,0.458,319539
kistnert,2020-11-04T06:09:14Z,0.481,319539
weeksa,2020-11-04T06:09:14Z,0.061,319539
craiga,2020-11-04T06:18:55Z,0.458,320771
kistnert,2020-11-04T06:18:55Z,0.481,320771
weeksa,2020-11-04T06:18:55Z,0.061,320771
craiga,2020-11-04T06:28:59Z,0.468,341674
kistnert,2020-11-04T06:28:59Z,0.472,341674
weeksa,2020-11-04T06:28:59Z,0.06,341674
craiga,2020-11-04T06:38:54Z,0.468,343445
kistnert,2020-11-04T06:38:54Z,0.472,343445
weeksa,2020-11-04T06:38:54Z,0.06,343445
craiga,2020-11-04T07:18:51Z,0.47,347863
kistnert,2020-11-04T07:18:51Z,0.47,347863
weeksa,2020-11-04T07:18:51Z,0.06,347863
craiga,2020-11-04T08:38:48Z,0.481,365476
kistnert,2020-11-04T08:38:48Z,0.46,365476
weeksa,2020-11-04T08:38:48Z,0.059,365476
craiga,2020-11-04T17:38:48Z,0.481,366738
kistnert,2020-11-04T17:38:48Z,0.46,366738
weeksa,2020-11-04T17:38:48Z,0.059,366738
craiga,2020-11-04T17:48:52Z,0.481,366869
kistnert,2020-11-04T17:48:52Z,0.46,366869
weeksa,2020-11-04T17:48:52Z,0.059,366869
craiga,2020-11-04T18:28:52Z,0.481,366872
kistnert,2020-11-04T18:28:52Z,0.46,366872
weeksa,2020-11-04T18:28:52Z,0.059,366872
craiga,2020-11-04T18:48:51Z,0.481,366880
kistnert,2020-11-04T18:48:51Z,0.46,366880
weeksa,2020-11-04T18:48:51Z,0.059,366880
craiga,2020-11-04T20:49:00Z,0.481,366959
kistnert,2020-11-04T20:49:00Z,0.46,366959
weeksa,2020-11-04T20:49:00Z,0.059,366959
craiga,2020-11-04T21:08:58Z,0.481,366966
kistnert,2020-11-04T21:08:58Z,0.46,366966
weeksa,2020-11-04T21:08:58Z,0.059,366966
craiga,2020-11-05T00:40:58Z,0.481,367410
kistnert,2020-11-05T00:40:58Z,0.46,367410
weeksa,2020-11-05T00:40:58Z,0.059,367410
craiga,2020-11-05T16:38:46Z,0.481,367418
kistnert,2020-11-05T16:38:46Z,0.46,367418
weeksa,2020-11-05T16:38:46Z,0.059,367418
craiga,2020-11-05T23:59:37Z,0.478,413366
kistnert,2020-11-05T23:59:37Z,0.463,413366
weeksa,2020-11-05T23:59:37Z,0.059,413366
craiga,2020-11-06T00:00:35Z,0.482,422545
kistnert,2020-11-06T00:00:35Z,0.46,422545
weeksa,2020-11-06T00:00:35Z,0.058,422545
craiga,2020-11-06T19:58:37Z,0.482,422547
kistnert,2020-11-06T19:58:37Z,0.46,422547
weeksa,2020-11-06T19:58:37Z,0.058,422547
craiga,2020-11-06T23:18:38Z,0.482,422612
