CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-26T18:23:19Z,11426,0,63,63,27007
de_la_fuenter,2020-11-26T18:23:19Z,32,0,63,63,27007
hawkinsh,2020-11-26T18:23:19Z,75,0,63,63,27007
jorgensenj,2020-11-26T18:23:19Z,256,0,63,63,27007
kennedya,2020-11-26T18:23:19Z,9,0,63,63,27007
la_rivag,2020-11-26T18:23:19Z,17,0,63,63,27007
pierceb,2020-11-26T18:23:19Z,33,0,63,63,27007
trumpd,2020-11-26T18:23:19Z,12188,0,63,63,27007
westk,2020-11-26T18:23:19Z,95,0,63,63,27007
write-ins,2020-11-26T18:23:19Z,58,0,63,63,27007
