CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-27T04:30:41Z,10098,0,38,38,27017
de_la_fuenter,2020-11-27T04:30:41Z,48,0,38,38,27017
hawkinsh,2020-11-27T04:30:41Z,61,0,38,38,27017
jorgensenj,2020-11-27T04:30:41Z,231,0,38,38,27017
kennedya,2020-11-27T04:30:41Z,4,0,38,38,27017
la_rivag,2020-11-27T04:30:41Z,4,0,38,38,27017
pierceb,2020-11-27T04:30:41Z,40,0,38,38,27017
trumpd,2020-11-27T04:30:41Z,9791,0,38,38,27017
westk,2020-11-27T04:30:41Z,43,0,38,38,27017
write-ins,2020-11-27T04:30:41Z,49,0,38,38,27017
