CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-26T18:29:00Z,30774,0,35,35,27019
de_la_fuenter,2020-11-26T18:29:00Z,124,0,35,35,27019
hawkinsh,2020-11-26T18:29:00Z,141,0,35,35,27019
jorgensenj,2020-11-26T18:29:00Z,822,0,35,35,27019
kennedya,2020-11-26T18:29:00Z,5,0,35,35,27019
la_rivag,2020-11-26T18:29:00Z,13,0,35,35,27019
pierceb,2020-11-26T18:29:00Z,107,0,35,35,27019
trumpd,2020-11-26T18:29:00Z,34009,0,35,35,27019
westk,2020-11-26T18:29:00Z,126,0,35,35,27019
write-ins,2020-11-26T18:29:00Z,240,0,35,35,27019
