CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-27T03:02:12Z,6342,0,73,73,27021
de_la_fuenter,2020-11-27T03:02:12Z,34,0,73,73,27021
hawkinsh,2020-11-27T03:02:12Z,60,0,73,73,27021
jorgensenj,2020-11-27T03:02:12Z,111,0,73,73,27021
kennedya,2020-11-27T03:02:12Z,3,0,73,73,27021
la_rivag,2020-11-27T03:02:12Z,12,0,73,73,27021
pierceb,2020-11-27T03:02:12Z,27,0,73,73,27021
trumpd,2020-11-27T03:02:12Z,11620,0,73,73,27021
westk,2020-11-27T03:02:12Z,46,0,73,73,27021
write-ins,2020-11-27T03:02:12Z,34,0,73,73,27021
